Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
James Harden,33,9,9,36.8,7.0,15.9,.441,2.2,6.7,.333,4.8,9.2,.518,.510,5.8,6.2,.929,0.6,6.4,7.0,10.0,1.1,0.7,2.9,2.0,22.0
Tyrese Maxey,22,15,15,36.4,8.4,18.2,.462,2.9,6.8,.422,5.5,11.4,.485,.540,3.2,4.3,.738,0.4,3.1,3.5,4.4,1.0,0.3,2.0,2.3,22.9
Joel Embiid,28,12,12,35.4,10.5,20.2,.521,1.1,4.0,.271,9.4,16.2,.582,.548,10.2,12.2,.836,1.5,8.6,10.1,4.6,0.8,1.8,4.4,3.3,32.3
Tobias Harris,30,18,18,33.8,6.5,13.6,.478,1.9,5.2,.362,4.6,8.4,.550,.547,1.6,2.0,.806,0.9,5.4,6.3,2.9,1.4,0.5,1.3,2.2,16.5
P.J. Tucker,37,20,20,28.8,1.4,3.1,.452,0.6,1.6,.387,0.8,1.6,.516,.548,0.2,0.2,.750,1.3,3.2,4.5,1.0,0.7,0.4,1.1,2.5,3.6
De'Anthony Melton,24,18,11,27.8,4.2,10.1,.420,1.9,5.3,.368,2.3,4.8,.477,.517,0.7,1.1,.684,1.2,3.3,4.4,3.2,2.1,0.5,1.8,1.9,11.1
Shake Milton,26,16,5,21.8,4.1,7.5,.550,0.9,2.3,.417,3.2,5.3,.607,.613,1.6,1.9,.833,0.8,2.7,3.5,3.3,0.3,0.2,1.9,1.5,10.8
Georges Niang,29,20,0,19.8,3.5,7.3,.479,2.4,5.4,.449,1.1,2.0,.564,.644,0.7,0.8,.867,0.2,2.1,2.3,1.2,0.4,0.4,0.8,2.2,10.1
Danuel House Jr.,29,18,2,18.4,1.6,3.4,.452,0.7,2.0,.333,0.9,1.4,.615,.548,1.2,1.6,.750,0.2,1.7,1.9,0.8,0.3,0.3,0.6,1.3,4.9
Montrezl Harrell,29,18,5,12.6,1.8,3.4,.532,0.0,0.0,,1.8,3.4,.532,.532,1.9,2.6,.745,1.1,1.9,3.1,0.5,0.2,0.4,0.6,1.2,5.6
