Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Jrue Holiday,32,10,10,33.1,7.4,16.8,.440,2.4,6.7,.358,5.0,10.1,.495,.512,2.4,2.8,.857,1.3,4.4,5.7,7.9,1.5,0.7,2.9,1.7,19.6
Giannis Antetokounmpo,28,10,10,32.6,11.1,21.1,.526,0.8,3.3,.242,10.3,17.8,.579,.545,8.3,12.9,.643,1.8,10.0,11.8,5.2,1.1,1.3,3.8,3.2,31.3
Brook Lopez,34,13,13,31.5,5.8,12.2,.481,2.2,6.2,.346,3.7,5.9,.623,.570,1.6,2.0,.808,2.1,4.2,6.3,1.0,0.6,2.5,1.6,2.5,15.5
Jevon Carter,27,13,13,27.2,3.5,8.2,.421,1.7,4.2,.400,1.8,4.0,.442,.523,0.8,0.9,.833,0.8,1.7,2.5,3.3,1.6,0.7,1.5,3.1,9.4
Bobby Portis,27,13,3,26.5,5.4,12.2,.443,1.2,3.9,.314,4.2,8.2,.505,.494,1.4,1.8,.783,2.8,8.2,10.9,2.0,0.4,0.2,1.1,1.5,13.4
Grayson Allen,27,12,11,25.4,2.9,7.1,.412,1.9,4.5,.426,1.0,2.6,.387,.547,2.3,2.5,.933,0.8,1.9,2.7,2.5,0.8,0.3,1.6,1.6,10.1
George Hill,36,13,0,22.9,1.5,4.2,.370,0.5,2.0,.231,1.1,2.2,.500,.426,1.7,2.3,.733,0.4,1.5,1.8,2.6,0.4,0.2,0.8,1.4,5.2
Jordan Nwora,24,13,1,18.2,2.0,6.6,.302,1.0,3.3,.302,1.0,3.3,.302,.378,1.2,1.2,1.000,0.8,3.3,4.2,1.0,0.3,0.1,0.8,1.2,6.2
MarJon Beauchamp,22,10,4,18.1,2.8,6.5,.431,1.2,3.7,.324,1.6,2.8,.571,.523,0.7,1.0,.700,1.0,2.7,3.7,0.4,0.6,0.2,1.2,2.1,7.5
Wesley Matthews,36,13,0,16.3,1.1,3.7,.292,0.8,2.8,.297,0.2,0.8,.273,.406,0.4,0.5,.833,1.0,1.3,2.3,0.6,0.7,0.3,0.5,1.7,3.4
