Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
DeMar DeRozan,33,38,37,36.3,9.4,18.7,.505,0.4,1.5,.281,9.0,17.2,.525,.516,7.3,8.2,.888,0.5,4.6,5.2,4.9,1.0,0.5,1.9,2.8,26.6
Zach LaVine,27,34,33,35.1,8.0,17.6,.457,2.8,7.3,.378,5.3,10.3,.513,.535,3.6,4.3,.837,0.5,3.8,4.3,4.3,1.0,0.1,2.4,2.3,22.4
Nikola Vučević,32,38,37,33.2,6.7,13.0,.512,1.7,4.5,.368,5.0,8.5,.588,.576,1.8,2.1,.852,2.0,8.5,10.5,2.9,0.6,0.9,1.8,2.1,16.8
Patrick Williams,21,38,36,28.7,3.7,8.0,.462,1.4,3.4,.411,2.3,4.6,.500,.550,1.0,1.1,.929,0.9,3.2,4.1,1.3,0.7,0.9,1.4,2.1,9.8
Ayo Dosunmu,23,36,28,27.3,4.0,7.9,.505,0.9,2.8,.333,3.1,5.1,.601,.565,1.0,1.3,.778,0.7,2.6,3.3,2.7,0.8,0.4,1.4,2.5,9.9
Alex Caruso,28,34,13,24.1,1.8,4.0,.441,0.8,2.1,.394,0.9,1.9,.492,.544,0.9,1.2,.750,0.4,2.3,2.7,3.4,1.6,0.6,1.3,2.4,5.2
Coby White,22,30,0,20.1,2.7,6.5,.421,1.5,4.3,.357,1.2,2.2,.545,.538,0.9,1.1,.813,0.2,2.1,2.3,1.8,0.7,0.1,0.8,1.6,7.9
Goran Dragić,36,35,0,16.9,3.0,6.8,.439,1.1,2.8,.388,1.9,4.0,.475,.519,0.7,1.0,.639,0.3,1.2,1.5,2.9,0.2,0.1,1.2,1.4,7.7
Javonte Green,29,28,1,16.0,2.2,3.7,.587,0.5,1.2,.382,1.7,2.5,.686,.649,1.0,1.5,.674,0.9,2.0,2.9,0.8,0.8,0.7,0.7,1.7,5.9
Derrick Jones Jr.,25,27,0,14.1,2.0,3.8,.524,0.4,1.2,.333,1.6,2.6,.614,.578,1.2,1.4,.821,0.9,1.5,2.4,0.6,0.5,0.7,0.5,1.5,5.6
