Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Donovan Mitchell,26,17,17,37.5,10.5,21.0,.501,4.0,9.4,.425,6.5,11.6,.563,.597,4.9,5.6,.875,0.9,3.2,4.1,5.4,1.5,0.4,3.2,2.6,30.0
Darius Garland,23,13,13,35.8,8.0,17.8,.450,3.2,7.4,.427,4.8,10.4,.467,.539,4.5,5.3,.841,0.3,1.8,2.1,7.8,1.3,0.2,3.7,2.4,23.6
Evan Mobley,21,19,19,34.1,5.9,11.0,.541,0.1,0.7,.154,5.8,10.3,.566,.545,2.5,3.6,.706,2.6,5.9,8.5,2.4,1.0,1.4,2.3,2.8,14.5
Caris LeVert,28,16,14,32.3,3.9,10.8,.364,1.6,4.2,.373,2.4,6.6,.358,.436,2.1,2.7,.791,1.1,3.4,4.5,4.9,0.7,0.1,1.8,2.4,11.6
Jarrett Allen,24,17,17,32.0,5.5,9.4,.588,0.0,0.1,.000,5.5,9.3,.595,.588,2.4,3.1,.788,2.9,7.8,10.8,1.3,0.5,1.2,1.7,2.2,13.5
Dean Wade,26,13,5,23.5,2.4,4.7,.508,1.5,3.3,.465,0.8,1.4,.611,.672,0.7,1.0,.692,0.5,3.4,3.9,1.0,0.5,0.4,0.3,2.5,7.0
Cedi Osman,27,19,0,22.3,3.3,7.1,.463,1.5,3.9,.392,1.7,3.2,.550,.571,1.1,1.5,.724,0.4,2.6,3.0,1.8,0.3,0.1,0.8,2.1,9.2
Lamar Stevens,25,9,6,21.6,2.4,5.1,.478,0.6,1.3,.417,1.9,3.8,.500,.533,1.8,2.1,.842,0.8,1.8,2.6,0.3,0.2,0.7,0.6,1.8,7.2
Kevin Love,34,16,1,20.7,3.2,7.6,.418,2.3,5.6,.404,0.9,2.1,.455,.566,1.9,2.3,.861,0.8,6.4,7.2,2.5,0.1,0.2,1.1,1.4,10.6
Isaac Okoro,22,19,3,18.1,1.3,3.1,.407,0.3,1.4,.192,1.0,1.7,.576,.449,1.1,1.4,.808,0.4,1.3,1.7,0.5,0.5,0.2,0.8,2.2,3.9
