Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Jayson Tatum,24,14,14,37.5,10.3,20.9,.491,3.5,9.5,.368,6.8,11.4,.594,.575,7.9,9.1,.866,0.8,6.6,7.4,3.9,0.9,1.4,2.4,2.2,31.9
Jaylen Brown,26,13,13,36.8,9.5,19.6,.482,2.3,6.8,.337,7.2,12.8,.560,.541,4.2,5.0,.831,0.9,5.8,6.8,3.5,0.9,0.5,3.1,2.9,25.4
Marcus Smart,28,14,14,32.7,4.1,9.7,.419,1.5,5.1,.292,2.6,4.6,.563,.496,1.7,2.1,.828,0.3,2.9,3.2,7.1,1.1,0.3,1.6,3.1,11.4
Al Horford,36,11,11,31.5,4.4,8.1,.539,2.1,4.6,.451,2.3,3.5,.658,.669,0.5,0.7,.625,1.2,5.4,6.5,2.3,0.5,0.7,0.7,2.1,11.3
Grant Williams,24,13,5,28.2,3.2,5.4,.586,1.6,3.3,.488,1.5,2.1,.741,.736,1.4,1.7,.818,0.8,4.2,5.0,1.8,0.7,0.6,0.7,2.6,9.3
Derrick White,28,14,10,25.6,3.0,7.0,.429,1.4,3.6,.400,1.6,3.4,.458,.531,1.5,1.7,.875,0.6,2.6,3.2,3.1,0.7,0.9,0.6,2.9,8.9
Malcolm Brogdon,30,11,0,23.0,4.8,10.1,.477,1.3,3.5,.368,3.5,6.6,.534,.541,2.8,3.3,.861,0.9,2.9,3.8,3.5,0.5,0.2,2.0,1.3,13.7
Sam Hauser,25,14,0,15.6,2.6,5.1,.507,2.0,4.4,.452,0.6,0.6,.889,.704,0.2,0.3,.750,0.3,1.6,1.9,0.6,0.3,0.3,0.1,1.3,7.4
Blake Griffin,33,6,2,12.0,1.3,3.0,.444,0.5,1.3,.375,0.8,1.7,.500,.528,0.8,1.0,.833,1.0,2.0,3.0,0.8,0.3,0.0,0.7,1.7,4.0
Luke Kornet,27,10,0,11.7,1.1,2.1,.524,0.1,0.3,.333,1.0,1.8,.556,.548,0.7,0.8,.875,1.3,1.7,3.0,1.2,0.2,0.8,0.6,1.4,3.0
