Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Paul George,32,16,16,34.3,8.3,18.0,.458,2.8,7.6,.372,5.4,10.4,.521,.536,4.3,5.1,.852,0.5,5.5,6.0,4.3,1.6,0.4,3.6,2.7,23.6
Marcus Morris,33,17,17,30.8,5.7,11.8,.483,2.2,5.5,.409,3.5,6.4,.546,.577,1.0,1.2,.850,0.5,4.8,5.2,2.1,0.8,0.3,0.9,2.3,14.6
Ivica Zubac,25,19,19,30.6,3.8,6.4,.595,0.0,0.1,.000,3.8,6.3,.600,.595,2.1,3.3,.635,3.0,7.8,10.8,1.4,0.4,1.9,2.2,3.0,9.7
Reggie Jackson,32,19,19,29.2,4.7,10.4,.452,1.5,4.3,.358,3.2,6.1,.517,.525,1.5,1.6,.933,0.3,2.1,2.4,4.2,0.6,0.1,2.1,2.0,12.4
Norman Powell,29,19,5,25.4,4.9,10.7,.458,1.5,4.2,.354,3.4,6.5,.524,.527,2.6,3.3,.806,0.3,2.5,2.8,1.4,0.8,0.3,1.7,1.8,13.9
Kawhi Leonard,31,5,3,22.4,3.8,9.0,.422,0.4,3.0,.133,3.4,6.0,.567,.444,2.0,2.6,.769,0.8,3.2,4.0,3.4,0.6,0.2,1.0,1.4,10.0
John Wall,32,15,0,22.1,4.3,10.2,.425,0.9,3.5,.250,3.5,6.7,.515,.467,2.0,3.3,.600,0.4,2.5,2.9,5.7,1.1,0.3,2.4,1.6,11.5
Luke Kennard,26,14,7,21.3,2.9,5.7,.513,1.6,3.4,.479,1.3,2.3,.563,.656,0.2,0.2,1.000,0.3,2.6,2.9,0.6,0.6,0.0,1.1,1.4,7.7
Terance Mann,26,19,7,19.4,2.9,4.9,.596,0.5,1.6,.333,2.4,3.4,.719,.649,0.8,1.1,.714,0.7,2.3,3.0,1.4,0.5,0.2,1.0,1.7,7.2
Nicolas Batum,34,19,1,17.9,1.6,3.7,.429,1.1,2.7,.392,0.5,1.0,.526,.571,0.4,0.7,.615,0.7,3.2,3.9,1.3,0.6,0.7,0.8,2.2,4.6
