Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Jrue Holiday,32,10,10,33.1,7.4,16.8,.440,2.4,6.7,.358,5.0,10.1,.495,.512,2.4,2.8,.857,1.3,4.4,5.7,7.9,1.5,0.7,2.9,1.7,19.6
Giannis Antetokounmpo,28,9,9,32.8,11.4,21.1,.542,0.9,3.3,.267,10.6,17.8,.594,.563,8.0,12.3,.649,1.9,10.3,12.2,5.3,1.1,1.4,3.3,2.9,31.8
Brook Lopez,34,12,12,31.3,6.1,12.5,.487,2.3,6.4,.364,3.8,6.1,.616,.580,1.3,1.6,.789,2.2,4.3,6.4,1.0,0.7,2.7,1.7,2.6,15.8
Grayson Allen,27,11,10,26.8,3.2,7.5,.422,2.1,4.9,.426,1.1,2.6,.414,.560,2.4,2.5,.929,0.7,2.1,2.8,2.7,0.8,0.3,1.7,1.7,10.8
Bobby Portis,27,12,3,26.8,5.3,11.9,.448,1.3,3.8,.348,4.0,8.1,.495,.503,1.3,1.7,.800,2.8,8.3,11.0,2.0,0.4,0.3,1.1,1.2,13.3
Jevon Carter,27,12,12,26.6,3.4,8.0,.427,1.8,4.3,.423,1.6,3.7,.432,.542,0.5,0.7,.750,0.6,1.8,2.4,3.1,1.6,0.7,1.6,3.0,9.2
George Hill,36,12,0,22.7,1.7,4.4,.377,0.5,2.2,.231,1.2,2.3,.519,.434,1.7,2.3,.714,0.4,1.3,1.8,2.6,0.4,0.1,0.7,1.5,5.5
Jordan Nwora,24,12,1,17.9,1.9,6.5,.295,0.9,3.1,.297,1.0,3.4,.293,.365,1.1,1.1,1.000,0.9,3.2,4.1,0.8,0.3,0.1,0.8,1.0,5.8
Wesley Matthews,36,12,0,16.7,1.2,3.8,.311,0.9,2.9,.314,0.3,0.8,.300,.433,0.4,0.5,.833,1.1,1.4,2.5,0.7,0.8,0.3,0.5,1.8,3.7
MarJon Beauchamp,22,9,3,16.3,2.3,6.2,.375,1.0,3.7,.273,1.3,2.6,.522,.455,0.4,0.8,.571,0.9,2.3,3.2,0.3,0.7,0.1,1.1,2.1,6.1
