Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
DeMar DeRozan,33,14,14,33.8,8.1,16.0,.509,0.3,1.4,.200,7.9,14.6,.539,.518,7.3,8.2,.887,0.4,3.6,3.9,4.2,1.1,0.4,2.3,2.6,23.9
Zach LaVine,27,10,10,33.8,7.6,17.1,.444,3.0,7.8,.385,4.6,9.3,.495,.532,3.7,4.4,.841,0.5,3.4,3.9,4.1,1.3,0.1,2.2,2.5,21.9
Nikola Vučević,32,14,14,31.1,6.0,12.8,.469,1.7,4.4,.393,4.3,8.4,.508,.536,2.3,2.5,.914,2.6,8.9,11.5,2.9,0.2,0.8,2.4,2.4,16.0
Ayo Dosunmu,23,13,13,30.3,4.7,9.6,.488,1.4,3.9,.353,3.3,5.7,.581,.560,0.9,1.0,.923,0.5,3.4,3.8,3.2,0.8,0.3,1.7,2.5,11.7
Alex Caruso,28,14,5,25.2,1.3,4.0,.321,0.7,2.4,.303,0.6,1.6,.348,.411,1.1,1.4,.750,0.6,2.7,3.3,3.8,1.6,1.0,1.9,2.0,4.4
Patrick Williams,21,14,14,25.1,3.6,7.9,.464,1.1,2.9,.375,2.6,5.0,.514,.532,0.9,1.0,.929,1.2,2.5,3.7,0.8,0.8,1.1,1.5,1.9,9.3
Coby White,22,7,0,21.9,3.0,7.9,.382,1.4,4.9,.294,1.6,3.0,.524,.473,0.7,1.3,.556,0.1,1.6,1.7,1.7,0.7,0.0,0.9,2.0,8.1
Goran Dragić,36,14,0,19.3,3.8,8.3,.457,1.6,3.4,.468,2.2,4.9,.449,.552,0.9,1.2,.765,0.6,1.3,1.9,3.6,0.3,0.2,1.4,1.4,10.1
Javonte Green,29,14,0,17.4,2.3,4.2,.542,0.6,1.5,.381,1.7,2.7,.632,.610,0.9,1.1,.800,1.1,2.1,3.2,0.9,1.1,0.7,0.7,2.1,6.0
Andre Drummond,29,8,0,16.8,3.6,6.6,.547,0.0,0.3,.000,3.6,6.4,.569,.547,1.4,1.9,.733,3.3,6.4,9.6,0.9,0.9,0.4,1.8,2.6,8.6
