Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Desmond Bane,24,12,12,33.6,8.3,17.8,.465,3.8,8.5,.451,4.4,9.3,.477,.573,4.3,4.8,.912,0.5,4.4,4.9,4.8,0.6,0.3,2.3,2.4,24.7
Ja Morant,23,12,12,32.9,10.1,21.0,.480,2.1,5.1,.410,8.0,15.9,.503,.530,6.5,8.3,.788,1.1,4.9,6.0,7.0,1.0,0.3,4.0,1.9,28.8
Dillon Brooks,27,11,11,29.2,6.0,14.8,.405,2.2,5.6,.387,3.8,9.2,.416,.479,1.4,1.9,.714,0.5,3.1,3.5,2.1,0.6,0.2,1.5,3.3,15.5
Santi Aldama,22,14,14,27.7,3.8,8.1,.465,1.2,3.6,.333,2.6,4.5,.571,.539,1.0,1.6,.636,1.9,4.4,6.2,0.9,0.9,1.2,0.7,2.8,9.8
Steven Adams,29,13,13,27.1,3.1,5.0,.615,0.0,0.0,,3.1,5.0,.615,.615,0.7,2.2,.310,5.2,6.2,11.4,2.7,0.8,1.2,2.3,2.8,6.8
John Konchar,26,13,5,25.8,2.6,5.9,.442,1.5,3.7,.396,1.2,2.2,.517,.565,0.1,0.2,.500,1.5,4.1,5.5,1.1,1.0,0.3,0.5,1.6,6.8
Tyus Jones,26,14,2,23.3,4.5,10.0,.450,1.4,3.9,.345,3.1,6.1,.518,.518,0.6,0.9,.615,0.3,1.4,1.7,3.9,0.7,0.1,1.1,0.5,10.9
Jake LaRavia,21,11,0,18.7,1.9,4.3,.447,1.2,2.8,.419,0.7,1.5,.500,.585,0.5,0.5,1.000,0.8,2.8,3.6,0.7,0.5,0.3,0.8,2.5,5.5
Brandon Clarke,26,14,1,18.1,3.9,6.1,.635,0.0,0.4,.000,3.9,5.7,.675,.635,1.9,2.6,.730,0.9,2.9,3.9,1.4,0.3,0.9,1.2,2.6,9.6
David Roddy,21,14,0,17.9,2.2,5.9,.373,0.8,3.1,.250,1.4,2.8,.513,.440,0.5,0.7,.700,0.9,1.9,2.7,0.6,0.5,0.4,0.5,1.5,5.7
