Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Dejounte Murray,26,13,13,36.6,8.8,19.5,.455,1.9,5.9,.325,6.9,13.5,.511,.504,2.1,2.4,.871,0.9,5.4,6.3,8.0,2.2,0.5,2.4,1.8,21.7
Trae Young,24,12,12,35.2,8.6,22.7,.379,2.3,7.7,.304,6.3,15.0,.417,.430,7.9,8.8,.905,0.9,2.3,3.2,9.3,0.8,0.2,3.8,1.4,27.4
John Collins,25,13,13,31.4,4.8,9.5,.504,0.7,2.8,.250,4.1,6.7,.609,.541,2.2,2.3,.933,1.5,6.5,7.9,1.1,0.7,1.3,1.4,3.2,12.4
De'Andre Hunter,25,13,13,29.5,5.8,12.4,.472,1.4,3.9,.353,4.5,8.5,.527,.528,1.9,2.7,.714,0.8,3.2,3.9,0.9,0.3,0.2,1.4,3.5,15.0
Clint Capela,28,13,13,27.2,4.8,8.3,.583,0.0,0.0,,4.8,8.3,.583,.583,1.1,1.8,.583,4.2,7.8,12.0,0.6,0.7,1.5,1.2,1.9,10.8
Onyeka Okongwu,22,12,0,19.9,3.8,5.6,.672,0.0,0.1,.000,3.8,5.5,.682,.672,0.8,1.3,.667,1.9,3.8,5.7,1.0,0.6,0.8,0.7,3.2,8.3
Justin Holiday,33,13,0,19.4,2.4,6.2,.388,1.5,4.3,.339,0.9,1.8,.500,.506,0.0,0.0,,0.1,1.2,1.2,1.2,0.3,0.3,0.6,1.9,6.2
Aaron Holiday,26,13,1,19.2,1.9,4.3,.446,0.6,1.2,.500,1.3,3.1,.425,.518,0.6,0.7,.889,0.5,0.8,1.3,1.8,0.8,0.2,0.9,1.6,5.1
Jalen Johnson,21,13,0,14.0,1.7,3.8,.449,0.2,1.3,.176,1.5,2.5,.594,.480,0.6,0.9,.667,0.5,2.8,3.2,0.7,0.7,0.2,0.5,1.4,4.2
AJ Griffin,19,9,0,12.1,2.7,5.2,.511,1.2,2.7,.458,1.4,2.6,.565,.628,0.3,0.3,1.000,0.4,1.1,1.6,0.6,0.7,0.0,0.3,0.9,6.9
