Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Jimmy Butler,33,11,11,35.5,6.9,14.2,.487,0.9,2.5,.370,6.0,11.7,.512,.519,7.4,8.3,.890,2.0,4.5,6.5,6.1,1.9,0.2,1.5,1.5,22.1
Kyle Lowry,36,13,13,35.0,3.8,9.5,.403,2.2,6.3,.341,1.7,3.2,.524,.516,3.2,3.5,.911,0.6,4.2,4.8,5.8,1.2,0.5,2.0,2.8,13.0
Bam Adebayo,25,13,13,34.9,7.3,13.7,.534,0.0,0.3,.000,7.3,13.4,.546,.534,3.6,4.2,.855,2.2,6.9,9.1,3.5,1.2,0.8,3.6,3.5,18.2
Max Strus,26,13,6,32.6,5.6,12.1,.465,3.2,8.2,.387,2.5,3.9,.627,.596,1.1,1.3,.824,0.7,3.2,3.9,1.9,0.8,0.4,0.9,2.6,15.5
Tyler Herro,23,10,10,31.4,7.2,15.4,.468,2.4,6.4,.375,4.8,9.0,.533,.545,2.8,3.1,.903,0.6,5.8,6.4,2.6,0.7,0.6,2.1,1.6,19.6
Caleb Martin,27,12,12,28.3,3.3,7.8,.426,0.8,2.3,.321,2.6,5.5,.470,.473,0.7,0.9,.727,1.9,2.5,4.4,1.8,1.3,0.1,0.9,2.2,8.1
Gabe Vincent,26,13,0,25.9,3.4,8.5,.400,1.5,4.7,.311,1.9,3.8,.510,.486,1.5,1.8,.833,0.3,1.8,2.2,2.9,1.0,0.2,1.4,2.7,9.8
Duncan Robinson,28,13,0,17.4,2.2,6.5,.345,1.5,4.8,.306,0.8,1.7,.455,.458,0.5,0.6,.875,0.2,2.2,2.4,1.4,0.1,0.0,0.4,1.8,6.5
Dewayne Dedmon,33,11,0,12.1,2.1,3.8,.548,0.5,1.2,.385,1.6,2.6,.621,.607,1.2,1.5,.813,0.8,2.5,3.4,0.7,0.1,0.4,0.5,2.2,5.8
Nikola Jović,19,4,0,6.0,1.0,2.0,.500,0.3,1.0,.250,0.8,1.0,.750,.563,0.0,0.0,,0.3,0.3,0.5,0.3,0.5,0.0,0.5,1.3,2.3
