Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Lauri Markkanen,25,15,15,33.1,8.1,15.5,.526,2.1,6.0,.344,6.1,9.5,.641,.593,3.5,4.1,.839,2.1,6.5,8.6,2.2,0.5,0.9,2.0,1.7,21.8
Jordan Clarkson,30,15,15,30.3,6.6,15.4,.429,3.1,7.8,.393,3.5,7.6,.465,.528,1.9,2.3,.800,1.5,2.7,4.3,4.7,0.3,0.5,2.3,1.9,18.1
Mike Conley,35,14,14,30.3,3.6,9.1,.398,1.9,5.1,.375,1.7,4.0,.429,.504,1.6,2.1,.759,0.4,1.9,2.3,8.1,1.0,0.3,1.6,1.6,10.8
Kelly Olynyk,31,15,15,26.8,4.3,7.9,.546,1.5,3.1,.500,2.8,4.9,.575,.643,2.1,2.7,.775,1.2,3.1,4.3,3.1,1.3,0.5,2.5,4.3,12.3
Malik Beasley,26,15,2,25.6,4.3,10.1,.428,2.8,6.7,.420,1.5,3.5,.442,.566,0.7,0.8,.917,0.7,2.8,3.5,1.2,1.0,0.1,0.7,1.1,12.2
Jarred Vanderbilt,23,13,13,24.8,3.6,6.3,.573,0.5,1.2,.438,3.1,5.1,.606,.616,0.8,1.3,.647,2.4,5.8,8.2,2.7,1.3,0.4,1.8,3.7,8.6
Collin Sexton,24,15,1,22.1,4.7,10.0,.473,1.1,3.0,.378,3.6,7.0,.514,.530,3.4,4.3,.797,0.9,1.9,2.9,1.8,0.7,0.1,1.7,2.2,14.0
Talen Horton-Tucker,22,15,0,16.6,2.9,7.3,.400,0.8,3.0,.267,2.1,4.3,.492,.455,1.1,1.5,.773,0.6,2.2,2.8,2.5,0.9,0.3,0.9,1.4,7.8
Rudy Gay,36,12,0,15.8,1.8,4.8,.362,0.8,2.8,.265,1.0,2.0,.500,.440,0.3,0.5,.500,0.5,2.9,3.4,0.8,0.4,0.5,0.8,1.3,4.5
Walker Kessler,21,12,0,14.7,2.3,3.5,.667,0.0,0.0,,2.3,3.5,.667,.667,0.8,1.5,.500,2.3,3.0,5.3,0.7,0.2,1.7,0.6,1.8,5.4
