Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
LeBron James,38,10,10,35.7,10.0,21.9,.457,1.7,7.1,.239,8.3,14.8,.561,.495,3.2,4.8,.667,1.8,7.0,8.8,6.9,1.1,0.7,3.4,2.0,24.9
Anthony Davis,29,12,12,34.5,9.7,17.8,.542,0.3,1.3,.250,9.3,16.5,.566,.551,4.6,5.8,.786,3.6,7.6,11.2,2.5,1.3,1.8,1.6,3.1,24.3
Lonnie Walker IV,24,11,11,31.1,6.2,13.1,.472,1.8,5.1,.357,4.4,8.0,.545,.542,2.4,2.9,.813,0.5,2.0,2.5,1.7,1.1,0.6,1.1,2.1,16.5
Russell Westbrook,34,12,3,29.3,5.7,13.8,.412,1.5,4.4,.340,4.2,9.3,.446,.467,3.5,4.3,.808,1.2,4.3,5.5,7.2,1.2,0.4,3.8,2.7,16.3
Patrick Beverley,34,11,11,28.1,1.4,4.9,.278,0.7,3.1,.235,0.6,1.8,.350,.352,1.2,1.4,.867,0.8,2.9,3.7,3.0,1.1,0.5,0.9,3.2,4.6
Troy Brown Jr.,23,11,9,27.5,3.7,8.4,.446,1.3,3.9,.326,2.5,4.5,.551,.522,0.7,0.7,1.000,0.9,4.2,5.1,0.8,0.8,0.0,0.9,2.0,9.5
Austin Reaves,24,13,4,26.9,2.6,5.5,.479,1.0,2.8,.361,1.6,2.7,.600,.570,2.2,2.5,.879,0.7,2.5,3.2,1.6,0.5,0.3,1.1,1.2,8.5
Wenyen Gabriel,25,11,2,13.5,2.0,3.2,.629,0.1,0.5,.200,1.9,2.7,.700,.643,0.6,0.9,.700,0.6,1.9,2.5,0.7,0.7,0.5,0.7,2.1,4.7
Kendrick Nunn,27,11,2,13.5,1.9,6.2,.309,0.7,3.2,.229,1.2,3.0,.394,.368,0.2,0.3,.667,0.1,1.4,1.5,1.3,0.2,0.1,1.4,0.9,4.7
Juan Toscano-Anderson,29,10,0,12.3,1.0,2.5,.400,0.2,1.1,.182,0.8,1.4,.571,.440,0.4,0.5,.800,0.1,2.0,2.1,0.5,0.3,0.3,0.8,1.7,2.6
