Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Luka Dončić,23,12,12,36.9,11.7,23.5,.496,2.3,8.2,.286,9.3,15.3,.609,.546,8.7,11.6,.748,1.0,7.7,8.7,8.1,2.0,0.7,3.3,3.3,34.3
Spencer Dinwiddie,29,12,12,33.1,6.8,13.8,.491,3.3,7.1,.459,3.5,6.7,.525,.609,1.8,2.2,.808,0.3,3.3,3.5,4.7,1.2,0.2,1.8,2.5,18.5
Dorian Finney-Smith,29,12,12,32.5,3.1,7.1,.435,1.5,4.6,.327,1.6,2.5,.633,.541,0.7,0.9,.727,1.2,2.8,4.0,0.8,0.8,0.5,1.3,2.2,8.3
Reggie Bullock,31,12,12,28.7,1.6,5.3,.297,1.3,4.3,.294,0.3,1.1,.308,.414,0.3,0.4,.600,0.4,2.5,2.9,1.0,1.2,0.2,0.6,2.9,4.7
Maxi Kleber,31,12,0,25.9,1.7,4.3,.392,0.8,2.7,.281,0.9,1.6,.579,.480,0.8,1.0,.750,0.9,2.9,3.8,0.9,0.5,0.7,0.7,1.8,4.8
Christian Wood,27,10,0,24.7,5.8,10.1,.574,1.3,3.1,.419,4.5,7.0,.643,.639,3.0,4.4,.682,1.3,6.2,7.5,0.8,0.5,0.5,2.4,2.8,15.9
Tim Hardaway Jr.,30,11,0,24.2,3.5,10.5,.339,2.3,6.8,.333,1.3,3.6,.350,.448,2.4,2.6,.897,0.1,1.7,1.8,2.0,0.6,0.2,1.0,1.3,11.7
Josh Green,22,12,0,18.8,2.1,3.3,.625,0.9,1.8,.500,1.2,1.5,.778,.763,1.2,1.8,.636,0.9,1.3,2.3,0.9,1.1,0.1,0.8,2.0,6.3
Dwight Powell,31,9,5,18.4,2.6,4.0,.639,0.0,0.1,.000,2.6,3.9,.657,.639,1.2,1.6,.786,1.7,2.1,3.8,0.2,0.7,0.4,0.7,2.2,6.3
JaVale McGee,35,10,7,9.4,1.6,3.2,.500,0.0,0.0,,1.6,3.2,.500,.500,1.0,1.7,.588,1.1,1.9,3.0,0.2,0.3,0.5,1.1,1.0,4.2
