Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Kyrie Irving,30,8,8,38.6,9.8,21.5,.453,2.6,9.4,.280,7.1,12.1,.588,.515,4.8,5.1,.927,0.8,4.4,5.1,5.1,1.4,1.1,2.4,3.0,26.9
Kevin Durant,34,14,14,37.0,10.2,19.5,.524,1.7,4.8,.358,8.5,14.7,.578,.568,8.4,9.2,.915,0.4,6.2,6.6,5.3,0.9,1.9,3.3,2.5,30.6
Royce O'Neale,29,14,14,36.4,3.6,9.6,.373,2.4,5.8,.420,1.1,3.8,.302,.500,0.7,1.0,.714,1.1,3.5,4.6,4.1,1.4,0.6,1.2,3.4,10.3
Nic Claxton,23,14,14,27.4,5.4,7.5,.724,0.0,0.1,.000,5.4,7.4,.731,.724,1.1,2.9,.375,2.9,6.1,9.1,1.2,0.8,2.1,1.5,2.7,11.9
Ben Simmons,26,9,6,27.2,2.2,5.0,.444,0.0,0.1,.000,2.2,4.9,.455,.444,0.8,1.7,.467,1.1,5.1,6.2,5.9,1.1,0.6,2.2,4.1,5.2
Joe Harris,31,12,8,26.5,3.0,7.3,.414,1.7,4.8,.345,1.3,2.4,.552,.529,0.2,0.4,.400,0.8,2.8,3.6,2.0,0.6,0.3,0.5,2.3,7.8
Seth Curry,32,5,0,19.4,3.4,8.0,.425,2.2,5.4,.407,1.2,2.6,.462,.563,0.8,1.0,.800,0.2,1.4,1.6,2.2,0.6,0.2,0.4,1.6,9.8
Cam Thomas,21,9,0,19.4,2.8,7.1,.391,0.6,1.7,.333,2.2,5.4,.408,.430,3.2,3.8,.853,0.1,1.7,1.8,2.2,0.8,0.2,0.9,1.1,9.3
Edmond Sumner,27,12,6,17.3,2.7,6.3,.427,0.8,2.5,.300,1.9,3.8,.511,.487,1.8,1.8,.955,0.3,1.5,1.8,1.5,1.0,0.3,1.3,1.3,7.8
Yuta Watanabe,28,11,0,16.6,2.5,4.1,.600,1.1,2.2,.500,1.4,1.9,.714,.733,0.1,0.3,.333,0.6,2.0,2.6,0.6,0.3,0.6,0.3,1.0,6.1
