Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Nikola Jokić,27,13,13,31.1,7.9,13.1,.606,0.6,2.2,.286,7.3,10.9,.669,.629,4.3,4.9,.875,1.5,7.9,9.5,8.9,1.5,0.6,3.2,2.7,20.8
Kentavious Caldwell-Pope,29,12,12,31.0,4.2,8.3,.500,2.5,4.6,.545,1.7,3.8,.444,.650,1.0,1.3,.750,0.3,3.3,3.6,2.7,1.5,0.3,1.3,2.0,11.8
Michael Porter Jr.,24,12,12,29.1,6.5,13.1,.497,3.6,7.4,.483,2.9,5.7,.515,.634,1.4,1.7,.850,1.3,5.1,6.4,1.3,0.7,0.3,1.0,2.9,18.0
Aaron Gordon,27,13,13,29.0,5.5,9.6,.576,0.8,2.7,.314,4.7,6.9,.678,.620,2.5,4.1,.623,2.2,4.6,6.8,2.5,0.5,0.8,1.2,1.5,14.5
Jamal Murray,25,12,12,28.7,6.5,14.8,.438,1.6,4.6,.345,4.9,10.3,.480,.492,1.6,2.2,.731,0.7,2.8,3.5,4.3,1.0,0.0,2.1,0.8,16.2
Bruce Brown,26,13,3,27.7,3.9,8.7,.451,1.2,3.2,.390,2.7,5.5,.486,.522,0.9,1.2,.800,1.2,2.7,3.9,4.2,0.8,0.5,1.5,1.8,10.0
Bones Hyland,22,9,0,20.8,4.4,11.4,.388,2.9,5.8,.500,1.6,5.7,.275,.515,2.2,2.9,.769,0.1,1.6,1.7,3.7,0.7,0.3,2.0,1.9,14.0
Jeff Green,36,13,0,19.8,2.9,5.6,.521,0.4,1.4,.278,2.5,4.2,.600,.555,1.5,2.1,.741,0.8,1.9,2.8,1.2,0.5,0.2,1.0,2.0,7.8
Christian Braun,21,12,0,15.7,1.6,3.3,.475,0.5,1.3,.375,1.1,2.0,.542,.550,0.3,0.5,.667,0.6,1.6,2.2,1.2,0.5,0.2,0.4,0.9,4.0
DeAndre Jordan,34,11,0,13.5,2.3,2.8,.806,0.1,0.1,1.000,2.2,2.7,.800,.823,0.8,1.5,.529,1.4,3.5,4.9,0.7,0.1,0.6,1.4,1.5,5.5
