Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
CJ McCollum,31,13,13,35.9,7.2,18.3,.391,1.8,6.6,.279,5.3,11.7,.454,.441,1.7,2.2,.786,1.0,4.5,5.5,6.3,1.4,0.6,2.2,1.9,17.8
Brandon Ingram,25,9,9,32.6,7.9,16.3,.483,1.7,3.6,.469,6.2,12.8,.487,.534,4.0,4.9,.818,0.6,5.2,5.8,4.0,0.9,0.9,3.1,2.8,21.4
Zion Williamson,22,11,11,32.2,9.0,15.9,.566,0.3,0.5,.500,8.7,15.4,.568,.574,5.3,7.4,.716,2.1,4.3,6.4,3.9,1.1,0.3,2.7,2.7,23.5
Herbert Jones,24,9,9,29.9,3.7,7.9,.465,0.2,2.0,.111,3.4,5.9,.585,.479,2.9,3.7,.788,1.3,2.2,3.6,2.0,1.1,0.6,1.0,3.7,10.4
Trey Murphy III,22,13,4,28.5,3.8,8.2,.467,2.2,5.5,.394,1.7,2.8,.611,.598,1.6,1.7,.955,1.3,3.2,4.5,1.4,0.9,0.4,0.8,1.8,11.5
Jonas Valančiūnas,30,13,13,24.3,5.0,9.9,.504,0.5,1.2,.375,4.5,8.7,.522,.527,3.4,4.0,.846,3.3,6.8,10.1,2.1,0.5,0.3,1.3,2.2,13.8
Larry Nance Jr.,30,12,0,23.2,4.2,6.3,.667,0.3,0.7,.500,3.8,5.6,.687,.693,0.7,1.0,.667,1.8,3.9,5.7,2.3,0.8,0.5,1.2,2.3,9.3
Naji Marshall,25,13,4,19.7,2.6,5.9,.442,0.8,2.1,.370,1.8,3.8,.480,.506,0.9,1.3,.706,1.0,1.8,2.8,1.4,0.7,0.2,0.9,1.4,6.9
Jose Alvarado,24,13,2,18.8,2.9,6.2,.469,1.4,3.3,.419,1.5,2.9,.526,.580,0.5,0.7,.667,0.4,1.6,2.0,2.8,0.9,0.2,1.3,2.0,7.7
Devonte' Graham,27,13,0,16.4,1.5,4.1,.377,1.3,3.2,.405,0.2,0.8,.273,.538,0.5,0.8,.700,0.1,1.1,1.2,2.4,0.5,0.2,0.5,0.8,4.9
