Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Kevin Porter Jr.,22,13,13,35.0,6.6,15.9,.415,1.9,5.6,.342,4.7,10.3,.455,.476,4.0,5.2,.776,1.5,4.2,5.7,5.8,1.2,0.3,4.1,2.9,19.2
Jalen Green,20,13,13,34.2,7.7,18.1,.426,3.0,8.0,.375,4.7,10.1,.466,.509,3.4,4.3,.786,0.6,3.4,4.0,2.8,0.8,0.3,2.7,1.6,21.8
Eric Gordon,34,11,11,30.6,4.5,9.8,.454,2.0,5.5,.367,2.5,4.4,.563,.556,2.0,2.5,.815,0.2,1.8,2.0,3.4,0.8,0.5,1.9,0.9,12.9
Jabari Smith Jr.,19,12,12,29.7,3.4,10.8,.315,1.7,5.8,.286,1.8,5.0,.350,.392,1.8,2.2,.846,1.5,5.3,6.8,0.8,0.2,1.1,1.3,3.7,10.3
Alperen Şengün,20,11,8,26.3,5.8,10.1,.577,0.3,1.2,.231,5.5,8.9,.622,.590,4.2,5.3,.793,3.7,5.4,9.1,2.0,0.7,1.0,1.9,3.4,16.1
Kenyon Martin Jr.,22,13,3,25.5,4.2,8.2,.514,1.2,3.6,.340,3.0,4.6,.650,.589,1.5,2.3,.667,1.3,3.7,5.0,1.6,0.5,0.6,1.2,2.2,11.2
Jae'Sean Tate,27,3,2,22.7,3.3,6.7,.500,0.7,1.7,.400,2.7,5.0,.533,.550,1.0,1.3,.750,2.7,1.7,4.3,3.3,1.0,0.0,1.7,5.0,8.3
Bruno Fernando,24,2,2,18.5,2.5,3.0,.833,0.0,0.0,,2.5,3.0,.833,.833,0.5,1.0,.500,2.5,4.0,6.5,4.5,0.5,1.0,0.5,1.5,5.5
Tari Eason,21,13,0,18.4,3.2,7.4,.427,0.8,1.9,.440,2.3,5.5,.423,.484,1.2,1.5,.789,2.2,2.8,4.9,1.2,1.5,0.5,0.8,2.4,8.3
Usman Garuba,20,11,1,15.0,1.5,2.6,.552,0.4,0.5,.800,1.1,2.2,.500,.621,0.5,1.0,.455,2.3,3.3,5.5,1.1,0.9,0.5,1.3,1.7,3.7
