Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Keldon Johnson,23,12,12,33.9,8.0,17.3,.462,3.8,8.8,.429,4.3,8.6,.495,.570,3.8,5.0,.767,0.7,4.6,5.3,3.7,1.0,0.1,3.0,1.7,23.6
Devin Vassell,22,9,7,31.6,7.8,16.6,.470,3.3,7.7,.435,4.4,8.9,.500,.570,2.1,2.8,.760,0.1,4.0,4.1,3.8,0.9,0.3,1.3,1.1,21.0
Tre Jones,23,13,13,30.5,4.4,10.6,.413,1.0,2.4,.419,3.4,8.2,.411,.460,2.5,2.8,.917,0.7,3.2,3.8,6.6,1.4,0.2,2.0,2.2,12.3
Jakob Poeltl,27,13,13,29.2,5.5,8.6,.643,0.0,0.0,,5.5,8.6,.643,.643,1.5,3.3,.465,3.8,6.0,9.8,3.8,1.0,1.2,2.2,2.1,12.6
Jeremy Sochan,19,12,12,23.8,3.2,6.4,.494,0.5,2.5,.200,2.7,3.9,.681,.532,0.3,0.6,.571,1.1,2.7,3.8,1.6,0.9,0.5,1.0,2.3,7.2
Joshua Primo,20,4,0,23.3,2.3,6.5,.346,0.8,3.0,.250,1.5,3.5,.429,.404,1.8,2.3,.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2.0,7.0
Josh Richardson,29,12,2,23.2,3.7,8.6,.427,2.0,5.0,.400,1.7,3.6,.465,.544,1.9,2.3,.852,0.3,1.9,2.2,2.9,0.7,0.2,2.1,2.0,11.3
Doug McDermott,31,13,0,21.1,3.7,8.2,.449,2.0,4.8,.413,1.7,3.4,.500,.570,0.6,0.9,.667,0.3,1.9,2.2,1.4,0.0,0.2,1.0,1.6,10.0
Malaki Branham,19,4,2,19.5,2.0,7.0,.286,0.8,3.8,.200,1.3,3.3,.385,.339,1.3,1.5,.833,0.5,1.8,2.3,2.0,0.3,0.0,0.8,0.8,6.0
Zach Collins,25,9,0,17.7,3.4,6.6,.525,0.8,2.0,.389,2.7,4.6,.585,.585,0.7,1.0,.667,1.3,3.3,4.7,2.8,0.7,1.2,1.9,3.0,8.3
