Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Mikal Bridges,26,12,12,36.5,5.9,10.7,.555,1.3,2.8,.441,4.7,7.8,.596,.613,2.6,2.9,.886,1.3,3.9,5.2,3.2,1.0,1.0,1.2,2.1,15.7
Devin Booker,26,12,12,36.4,9.4,19.8,.475,2.3,6.1,.384,7.1,13.8,.515,.534,5.5,6.3,.868,0.9,3.6,4.5,5.6,1.0,0.4,2.8,2.3,26.7
Chris Paul,37,10,10,30.2,2.8,7.6,.368,0.9,3.3,.273,1.9,4.3,.442,.428,3.0,3.4,.882,0.5,4.0,4.5,9.4,1.7,0.2,1.5,2.3,9.5
Deandre Ayton,24,10,10,26.6,6.4,11.5,.557,0.3,0.7,.429,6.1,10.8,.565,.570,1.4,1.9,.737,2.2,5.1,7.3,1.5,0.6,0.6,2.1,3.2,14.5
Cameron Johnson,26,8,8,25.3,4.6,10.4,.446,2.8,6.4,.431,1.9,4.0,.469,.578,1.0,1.4,.727,0.6,2.8,3.4,1.8,1.1,0.4,0.3,1.8,13.0
Cameron Payne,28,10,2,21.0,4.6,10.3,.447,1.9,4.6,.413,2.7,5.7,.474,.539,1.0,1.2,.833,0.3,2.2,2.5,3.7,1.0,0.1,2.0,1.5,12.1
Torrey Craig,32,12,4,19.2,2.2,4.6,.473,1.1,2.8,.394,1.1,1.8,.591,.591,0.3,0.5,.667,1.4,2.4,3.8,1.3,0.5,0.5,0.7,1.9,5.8
Damion Lee,30,12,0,18.9,2.0,5.0,.400,1.4,3.3,.436,0.6,1.8,.333,.542,1.0,1.2,.857,0.4,2.0,2.4,1.1,0.6,0.0,0.5,1.6,6.4
Landry Shamet,25,9,0,16.2,2.2,5.6,.400,1.3,3.7,.364,0.9,1.9,.471,.520,1.2,1.4,.846,0.2,0.4,0.7,1.2,0.6,0.1,0.9,1.3,7.0
Jock Landale,27,12,0,15.5,3.0,6.0,.500,0.3,1.9,.130,2.8,4.1,.673,.521,1.6,2.0,.792,1.8,2.8,4.5,0.9,0.3,0.8,0.8,2.8,7.8
