Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Shai Gilgeous-Alexander,24,12,12,35.9,11.5,21.2,.543,1.0,2.8,.364,10.5,18.4,.570,.567,7.1,7.6,.934,0.8,3.6,4.4,5.7,2.1,1.5,3.3,2.5,31.1
Luguentz Dort,23,13,13,30.2,4.8,12.2,.392,1.4,5.5,.250,3.4,6.6,.512,.449,2.6,3.4,.773,1.4,2.9,4.3,2.4,1.5,0.3,0.9,3.5,13.5
Josh Giddey,20,10,10,30.0,6.4,13.6,.471,1.1,3.2,.344,5.3,10.4,.510,.511,0.8,1.2,.667,1.6,5.7,7.3,5.7,0.5,0.5,3.3,2.1,14.7
Tre Mann,21,13,4,24.1,4.2,10.5,.401,1.8,5.5,.333,2.4,5.0,.477,.489,0.8,1.2,.625,0.8,2.3,3.1,2.2,0.9,0.1,1.0,1.8,11.1
Aleksej Pokusevski,21,11,7,23.3,3.7,8.4,.446,1.3,3.5,.359,2.5,4.8,.509,.522,0.6,1.2,.538,1.7,3.5,5.2,1.6,0.8,1.5,1.6,1.5,9.4
Aaron Wiggins,24,10,4,21.4,2.1,5.1,.412,0.7,2.0,.350,1.4,3.1,.452,.480,1.1,1.4,.786,0.7,3.4,4.1,2.0,0.6,0.4,0.8,1.9,6.0
Jalen Williams,21,9,2,21.3,3.4,6.4,.534,0.3,1.8,.188,3.1,4.7,.667,.560,0.6,0.6,1.000,0.3,1.8,2.1,2.4,1.0,0.3,1.3,2.6,7.8
Kenrich Williams,28,12,2,20.6,2.5,5.2,.484,0.5,1.8,.286,2.0,3.4,.585,.532,0.3,0.8,.333,2.0,2.3,4.3,1.7,0.7,0.2,0.3,2.0,5.8
Jeremiah Robinson-Earl,22,12,10,18.3,3.2,6.2,.514,1.4,3.3,.436,1.8,2.9,.600,.628,0.6,0.9,.636,1.1,2.8,3.9,0.8,0.9,0.3,0.5,1.9,8.3
Darius Bazley,22,11,0,16.7,2.5,5.8,.422,0.6,1.6,.389,1.8,4.2,.435,.477,0.5,1.0,.455,1.6,3.1,4.7,1.5,0.8,1.3,0.5,1.5,6.0
