Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Josh Hart,27,13,13,36.3,3.1,7.5,.412,0.5,1.8,.304,2.5,5.7,.446,.448,2.2,3.2,.683,1.7,7.0,8.7,4.4,1.2,0.2,1.8,2.5,8.8
Anfernee Simons,23,11,11,36.2,7.7,18.4,.421,3.8,10.5,.365,3.9,7.9,.494,.525,3.0,3.5,.846,0.4,2.6,3.0,4.1,0.8,0.2,2.4,2.2,22.3
Jerami Grant,28,12,12,35.7,6.8,13.8,.497,2.4,5.3,.460,4.4,8.5,.520,.585,4.6,6.0,.764,0.9,3.8,4.7,2.7,0.7,0.9,2.3,2.0,20.7
Damian Lillard,32,8,8,35.4,8.3,17.6,.468,3.9,9.8,.397,4.4,7.9,.556,.578,8.3,9.5,.868,1.1,3.9,5.0,6.0,0.6,0.3,4.3,1.5,28.6
Jusuf Nurkić,28,10,10,29.5,4.8,9.7,.495,0.6,1.1,.545,4.2,8.6,.488,.526,2.8,3.2,.875,3.1,8.1,11.2,2.5,0.9,0.8,2.5,3.1,13.0
Justise Winslow,26,11,4,26.6,3.2,8.1,.393,0.5,1.8,.250,2.7,6.3,.435,.421,1.1,1.6,.667,1.7,3.1,4.8,3.5,1.3,0.5,1.3,2.5,7.9
Shaedon Sharpe,19,12,4,20.8,3.7,7.1,.518,1.0,2.3,.444,2.7,4.8,.552,.588,0.7,0.9,.727,0.8,1.8,2.6,0.4,0.3,0.3,0.8,2.1,9.0
Trendon Watford,22,5,0,18.4,1.8,4.0,.450,0.0,0.8,.000,1.8,3.2,.563,.450,1.4,1.6,.875,0.6,2.6,3.2,2.6,1.2,0.0,1.4,2.6,5.0
Keon Johnson,20,6,0,17.7,2.7,7.5,.356,1.3,3.8,.348,1.3,3.7,.364,.444,0.3,1.0,.333,0.5,2.0,2.5,1.7,0.8,0.3,2.2,1.7,7.0
Drew Eubanks,25,13,3,17.5,2.2,3.2,.690,0.0,0.0,,2.2,3.2,.690,.690,1.0,1.5,.684,1.3,2.5,3.8,0.8,0.4,0.7,0.8,2.1,5.5
