Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Desmond Bane,24,12,12,33.6,8.3,17.8,.465,3.8,8.5,.451,4.4,9.3,.477,.573,4.3,4.8,.912,0.5,4.4,4.9,4.8,0.6,0.3,2.3,2.4,24.7
Ja Morant,23,15,15,33.1,10.1,21.3,.472,1.9,4.8,.389,8.2,16.5,.496,.516,6.9,9.0,.770,1.3,5.0,6.3,7.0,1.1,0.3,3.9,1.8,28.9
Dillon Brooks,27,15,15,30.6,6.5,16.5,.393,2.1,6.3,.330,4.4,10.2,.431,.455,1.7,2.5,.703,0.9,2.7,3.6,2.6,0.9,0.1,1.4,3.0,16.7
John Konchar,26,17,9,27.4,3.1,6.6,.464,1.7,4.2,.408,1.4,2.4,.561,.594,0.5,0.6,.900,1.5,4.9,6.4,1.6,1.0,0.4,0.8,1.8,8.4
Steven Adams,29,17,17,26.4,3.1,5.0,.624,0.0,0.0,,3.1,5.0,.624,.624,0.6,2.8,.234,4.8,6.1,10.9,2.2,0.8,1.0,2.5,2.7,6.9
Santi Aldama,22,18,15,26.3,3.6,8.1,.448,1.3,3.8,.333,2.3,4.2,.553,.528,1.2,1.8,.688,1.7,4.2,5.9,1.0,1.0,1.0,0.6,2.6,9.7
Jaren Jackson Jr.,23,3,3,25.7,6.0,14.7,.409,1.3,6.0,.222,4.7,8.7,.538,.455,4.7,6.7,.700,2.3,4.7,7.0,0.3,1.3,4.3,1.3,2.3,18.0
Tyus Jones,26,18,3,23.9,4.2,9.4,.447,1.4,3.9,.357,2.8,5.6,.510,.521,0.7,1.1,.650,0.3,1.6,1.8,4.2,0.7,0.1,1.1,0.6,10.6
Brandon Clarke,26,18,1,19.1,3.6,6.0,.602,0.1,0.3,.167,3.6,5.7,.627,.606,1.6,2.2,.744,1.1,3.2,4.3,1.4,0.3,0.9,1.1,2.2,8.9
Jake LaRavia,21,14,0,18.1,1.9,4.5,.413,1.1,3.1,.372,0.7,1.4,.500,.540,0.4,0.4,1.000,0.7,2.5,3.2,1.0,0.6,0.2,0.9,2.1,5.2
