Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Dejounte Murray,26,15,15,36.4,8.7,18.9,.458,1.8,5.6,.321,6.9,13.3,.515,.505,2.2,2.5,.868,0.8,5.4,6.2,7.6,2.0,0.4,2.3,1.9,21.3
Trae Young,24,14,14,34.8,8.6,22.4,.382,2.3,7.4,.308,6.3,15.0,.419,.433,7.5,8.3,.905,0.9,2.4,3.3,9.3,0.9,0.1,3.4,1.3,26.9
John Collins,25,15,15,31.6,4.9,10.0,.493,0.7,2.9,.227,4.3,7.1,.604,.527,2.1,2.2,.939,1.5,6.1,7.7,0.9,0.7,1.4,1.4,3.1,12.6
De'Andre Hunter,25,15,15,30.2,5.7,12.6,.455,1.5,4.0,.367,4.3,8.6,.496,.513,2.5,3.2,.792,0.7,3.2,3.9,0.9,0.3,0.1,1.3,3.3,15.5
Clint Capela,28,15,15,26.7,5.0,8.1,.615,0.0,0.0,,5.0,8.1,.615,.615,1.1,2.0,.533,4.3,7.3,11.6,0.7,0.6,1.4,1.1,1.8,11.1
Onyeka Okongwu,22,14,0,19.8,3.5,5.4,.653,0.0,0.1,.000,3.5,5.3,.662,.653,0.7,1.1,.667,2.1,3.8,5.9,1.1,0.6,0.8,0.6,3.2,7.7
Aaron Holiday,26,15,1,18.7,1.9,4.5,.418,0.5,1.2,.444,1.3,3.3,.408,.478,0.5,0.6,.889,0.4,1.1,1.5,1.7,0.7,0.2,0.8,1.7,4.8
Justin Holiday,33,14,0,18.4,2.2,5.8,.383,1.4,4.1,.333,0.9,1.7,.500,.500,0.0,0.0,,0.1,1.1,1.1,1.1,0.3,0.4,0.6,1.9,5.8
Jalen Johnson,21,15,0,13.8,1.8,4.1,.435,0.2,1.4,.143,1.6,2.7,.585,.460,0.7,1.0,.667,0.5,2.7,3.2,0.7,0.7,0.3,0.5,1.4,4.5
AJ Griffin,19,11,0,13.4,2.7,5.6,.484,1.1,2.7,.400,1.6,2.9,.563,.581,0.3,0.3,1.000,0.7,1.0,1.7,0.6,0.6,0.0,0.6,0.9,6.8
