Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Jimmy Butler,33,12,12,35.5,6.8,14.0,.482,0.9,2.4,.379,5.8,11.6,.504,.515,7.2,8.0,.896,2.2,4.9,7.1,6.2,1.8,0.3,1.4,1.6,21.6
Kyle Lowry,36,14,14,35.3,3.9,9.9,.399,2.1,6.2,.345,1.8,3.6,.490,.507,3.1,3.5,.898,0.6,4.1,4.7,5.8,1.1,0.4,2.2,2.6,13.1
Bam Adebayo,25,14,14,35.0,7.4,14.0,.531,0.0,0.4,.000,7.4,13.6,.545,.531,4.2,4.9,.855,2.4,6.7,9.1,3.4,1.2,0.8,3.6,3.4,19.1
Max Strus,26,14,7,32.9,5.4,11.8,.455,3.0,7.9,.378,2.4,3.9,.611,.582,1.0,1.2,.824,0.7,3.1,3.9,1.9,0.8,0.4,1.0,2.6,14.7
Tyler Herro,23,10,10,31.4,7.2,15.4,.468,2.4,6.4,.375,4.8,9.0,.533,.545,2.8,3.1,.903,0.6,5.8,6.4,2.6,0.7,0.6,2.1,1.6,19.6
Caleb Martin,27,13,13,29.0,3.5,7.8,.441,1.1,2.6,.412,2.4,5.2,.456,.510,0.6,0.8,.727,1.9,2.5,4.5,1.8,1.3,0.2,0.8,2.0,8.6
Gabe Vincent,26,14,0,25.9,3.4,8.5,.403,1.5,4.7,.318,1.9,3.8,.509,.492,1.4,1.7,.833,0.3,2.0,2.3,3.0,0.9,0.1,1.4,2.6,9.8
Duncan Robinson,28,14,0,17.6,2.3,6.5,.352,1.5,4.9,.309,0.8,1.6,.478,.467,0.6,0.7,.900,0.2,2.0,2.2,1.3,0.1,0.0,0.5,1.7,6.7
Dewayne Dedmon,33,12,0,12.1,2.3,4.1,.571,0.6,1.3,.438,1.8,2.8,.636,.643,1.1,1.3,.813,1.0,2.4,3.4,0.7,0.1,0.4,0.5,2.0,6.3
Nikola Jović,19,4,0,6.0,1.0,2.0,.500,0.3,1.0,.250,0.8,1.0,.750,.563,0.0,0.0,,0.3,0.3,0.5,0.3,0.5,0.0,0.5,1.3,2.3
