Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Terry Rozier,28,5,5,34.8,8.2,22.0,.373,3.6,10.2,.353,4.6,11.8,.390,.455,1.8,2.0,.900,1.6,4.2,5.8,6.0,0.2,0.6,2.8,1.4,21.8
P.J. Washington,24,12,12,31.2,5.9,13.8,.428,1.9,5.6,.343,4.0,8.3,.485,.497,2.2,2.7,.813,1.3,3.3,4.7,1.8,0.7,1.3,1.8,2.6,15.9
Gordon Hayward,32,8,8,31.0,6.3,13.3,.472,1.3,3.5,.357,5.0,9.8,.513,.519,3.6,4.6,.784,0.5,3.8,4.3,4.1,0.8,0.3,2.8,0.8,17.4
Kelly Oubre Jr.,27,12,12,29.7,6.3,15.8,.400,2.4,7.6,.319,3.9,8.3,.475,.476,2.4,3.5,.690,1.0,3.3,4.3,1.3,1.3,0.3,1.1,3.1,17.5
Dennis Smith Jr.,25,12,10,29.1,4.3,9.7,.448,0.8,2.1,.400,3.5,7.6,.462,.491,0.5,0.9,.545,0.8,3.0,3.8,6.0,2.0,0.7,1.6,2.3,10.0
Jalen McDaniels,25,12,1,25.6,3.5,8.5,.412,1.3,3.5,.381,2.2,5.0,.433,.490,1.1,1.3,.867,1.3,4.0,5.3,2.2,1.3,0.7,1.3,2.6,9.4
Mason Plumlee,32,12,12,25.2,3.3,5.8,.580,0.0,0.0,,3.3,5.8,.580,.580,2.1,3.8,.543,3.1,5.5,8.6,4.1,0.5,0.6,1.7,3.3,8.8
Nick Richards,25,12,0,19.7,3.6,6.0,.597,0.0,0.0,,3.6,6.0,.597,.597,2.5,3.5,.714,3.0,3.4,6.4,0.9,0.0,0.8,0.8,1.9,9.7
James Bouknight,22,12,0,19.6,2.4,7.2,.337,0.9,3.8,.244,1.5,3.4,.439,.401,0.8,1.2,.643,0.3,2.3,2.6,1.8,0.5,0.3,1.2,1.8,6.5
Théo Maledon,21,11,0,13.3,1.5,3.3,.472,0.5,1.5,.353,1.0,1.7,.579,.556,0.5,0.5,.833,0.1,1.6,1.7,2.3,0.5,0.3,1.2,0.9,4.1
