Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Lauri Markkanen,25,18,18,32.9,8.3,15.2,.544,2.1,5.7,.369,6.2,9.5,.649,.613,3.6,4.4,.813,2.2,6.2,8.4,2.3,0.6,0.9,2.0,2.0,22.3
Jordan Clarkson,30,18,18,30.8,6.8,15.9,.427,2.9,7.8,.376,3.8,8.1,.476,.519,2.1,2.5,.844,1.3,2.6,3.9,4.6,0.3,0.4,2.6,1.8,18.6
Mike Conley,35,17,17,29.2,3.4,8.7,.392,1.9,4.9,.386,1.5,3.8,.400,.500,1.5,2.0,.765,0.4,2.0,2.4,7.9,1.2,0.3,1.5,2.1,10.2
Kelly Olynyk,31,18,18,26.9,4.2,7.9,.531,1.4,3.1,.473,2.8,4.9,.568,.622,2.4,3.0,.796,1.3,3.5,4.8,3.1,1.2,0.6,2.6,4.3,12.3
Malik Beasley,26,18,2,25.9,5.0,11.1,.452,3.2,7.5,.430,1.8,3.6,.500,.598,0.8,0.9,.938,0.6,2.8,3.4,1.1,0.9,0.2,0.8,1.1,14.1
Jarred Vanderbilt,23,16,16,25.2,3.4,5.9,.568,0.4,1.2,.368,2.9,4.8,.618,.605,0.8,1.3,.571,2.5,6.0,8.5,2.8,1.1,0.3,1.7,3.6,7.9
Collin Sexton,24,18,1,21.7,4.4,9.4,.465,1.0,2.7,.367,3.4,6.7,.504,.518,3.3,4.1,.808,0.8,1.7,2.6,1.9,0.7,0.1,1.6,2.1,13.1
Talen Horton-Tucker,22,18,0,17.2,2.9,7.3,.402,0.7,2.7,.245,2.3,4.6,.494,.447,1.3,1.7,.774,0.6,2.2,2.7,2.6,0.8,0.3,1.0,1.4,7.9
Rudy Gay,36,12,0,15.8,1.8,4.8,.362,0.8,2.8,.265,1.0,2.0,.500,.440,0.3,0.5,.500,0.5,2.9,3.4,0.8,0.4,0.5,0.8,1.3,4.5
Walker Kessler,21,15,0,15.0,2.3,3.5,.673,0.0,0.0,,2.3,3.5,.673,.673,0.7,1.3,.500,2.3,2.9,5.2,0.8,0.3,1.4,0.6,1.8,5.3
