Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
De'Aaron Fox,25,11,11,32.7,9.8,17.9,.548,1.9,5.1,.375,7.9,12.8,.617,.602,4.0,4.8,.830,0.6,4.5,5.1,6.0,1.3,0.5,3.2,2.9,25.5
Keegan Murray,22,11,9,32.0,4.8,10.5,.457,2.5,6.4,.386,2.4,4.2,.565,.573,0.6,0.8,.778,0.7,3.0,3.7,1.2,1.1,0.8,1.7,2.5,12.7
Domantas Sabonis,26,12,12,32.0,6.5,11.7,.557,0.3,1.2,.214,6.3,10.5,.595,.568,4.7,6.6,.709,2.6,8.8,11.3,6.3,0.9,0.5,2.3,3.9,17.9
Harrison Barnes,30,12,12,31.8,3.4,8.3,.414,0.8,3.3,.225,2.7,4.9,.542,.460,3.3,4.1,.816,1.2,4.3,5.4,2.1,0.8,0.3,1.1,1.3,10.9
Kevin Huerter,24,12,12,31.8,5.5,11.0,.500,3.8,7.3,.511,1.8,3.7,.477,.670,1.8,2.8,.667,0.1,2.8,2.9,3.2,0.9,0.4,1.3,2.1,16.6
Malik Monk,24,12,0,21.8,3.8,9.3,.411,2.0,5.5,.364,1.8,3.8,.478,.518,2.2,2.3,.929,0.4,1.8,2.3,4.3,0.4,0.3,1.7,1.7,11.8
Davion Mitchell,24,12,1,18.8,2.8,6.0,.458,1.1,3.1,.351,1.7,2.9,.571,.549,0.2,0.3,.667,0.1,1.3,1.3,1.8,0.5,0.0,1.3,1.7,6.8
Trey Lyles,27,10,0,14.3,2.0,5.1,.392,1.4,3.9,.359,0.6,1.2,.500,.529,0.6,0.9,.667,0.4,2.1,2.5,1.0,0.4,0.5,1.0,1.2,6.0
Richaun Holmes,29,8,0,12.8,1.8,2.5,.700,0.0,0.0,,1.8,2.5,.700,.700,0.5,0.8,.667,1.0,1.9,2.9,0.0,0.3,0.1,0.6,1.9,4.0
Terence Davis,25,11,0,12.6,2.1,4.8,.434,1.1,3.3,.333,1.0,1.5,.647,.547,1.1,1.3,.857,0.5,2.0,2.5,1.3,0.6,0.2,0.5,1.7,6.4
