Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
RJ Barrett,22,13,13,33.9,6.8,16.0,.428,1.7,5.5,.306,5.2,10.5,.493,.481,3.5,4.5,.780,1.0,4.4,5.4,2.8,0.5,0.2,2.2,2.2,18.9
Julius Randle,28,13,13,33.5,6.9,15.1,.459,1.9,5.8,.333,5.0,9.3,.537,.523,5.1,6.7,.759,2.5,6.5,9.1,3.4,0.6,0.2,3.0,3.6,20.8
Jalen Brunson,26,13,13,32.7,7.2,14.5,.492,1.2,3.9,.294,6.0,10.6,.565,.532,4.1,4.7,.869,0.4,3.2,3.5,6.8,1.2,0.2,1.6,2.4,19.5
Isaiah Hartenstein,24,13,3,25.1,3.4,6.1,.557,0.2,1.1,.214,3.2,5.0,.631,.576,0.8,1.1,.786,3.7,4.6,8.3,0.9,0.7,1.2,1.2,2.8,7.8
Mitchell Robinson,24,8,8,21.8,2.9,4.1,.697,0.0,0.0,,2.9,4.1,.697,.697,0.8,1.8,.429,3.5,2.9,6.4,1.0,0.4,2.3,0.6,3.6,6.5
Immanuel Quickley,23,13,0,21.4,3.0,8.2,.368,1.1,3.8,.280,1.9,4.3,.446,.434,1.7,2.1,.815,0.6,4.3,4.9,3.2,1.2,0.2,1.4,1.8,8.8
Cam Reddish,23,13,5,21.3,3.2,7.2,.441,1.0,3.0,.333,2.2,4.2,.519,.511,1.0,1.2,.867,0.3,1.5,1.8,1.1,0.7,0.5,0.7,1.7,8.3
Evan Fournier,30,13,7,20.0,2.4,6.9,.344,1.5,4.4,.333,0.9,2.5,.364,.450,0.7,0.8,.818,0.2,1.9,2.1,1.7,0.7,0.2,1.1,2.2,6.9
Obi Toppin,24,13,0,17.8,3.8,8.0,.481,1.7,4.2,.400,2.2,3.8,.571,.587,0.7,0.7,1.000,0.8,3.1,3.9,1.1,0.6,0.2,1.1,0.9,10.1
Derrick Rose,34,13,0,13.3,2.4,6.2,.383,0.9,2.6,.353,1.5,3.6,.404,.457,0.5,0.5,1.000,0.3,1.6,1.9,2.2,0.4,0.2,1.2,0.6,6.2
