Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
LeBron James,38,11,11,35.5,9.8,21.5,.458,1.6,6.8,.240,8.2,14.6,.559,.496,3.3,4.7,.692,1.6,7.1,8.7,6.7,1.3,0.7,3.9,2.0,24.5
Anthony Davis,29,16,16,34.3,9.9,17.4,.570,0.3,1.2,.211,9.7,16.3,.596,.577,6.2,7.5,.825,3.4,9.3,12.8,2.5,1.6,2.2,2.1,2.9,26.3
Lonnie Walker IV,24,15,15,31.7,6.3,13.5,.468,1.9,5.4,.358,4.4,8.1,.541,.539,2.4,2.9,.837,0.3,1.7,2.1,1.9,1.1,0.5,1.2,1.9,17.0
Russell Westbrook,34,16,3,28.4,5.3,13.4,.397,1.4,4.3,.319,3.9,9.1,.434,.449,3.0,4.0,.750,1.1,4.1,5.1,7.5,1.1,0.4,3.5,2.5,15.0
Austin Reaves,24,17,7,28.1,3.1,6.1,.505,1.1,2.8,.375,2.0,3.2,.618,.592,2.6,2.8,.917,0.8,2.6,3.4,2.1,0.4,0.4,1.1,1.5,9.8
Patrick Beverley,34,14,14,27.4,1.2,4.6,.266,0.7,3.0,.238,0.5,1.6,.318,.344,1.0,1.2,.824,0.6,3.3,3.9,2.9,0.9,0.4,1.0,3.1,4.1
Troy Brown Jr.,23,15,13,26.2,3.3,7.4,.441,1.1,3.5,.327,2.1,3.9,.542,.518,0.6,0.6,1.000,0.9,3.9,4.8,0.9,0.7,0.0,1.0,1.9,8.3
Dennis Schröder,29,4,1,21.8,2.0,6.3,.320,0.3,1.8,.143,1.8,4.5,.389,.340,1.8,1.8,1.000,0.3,1.0,1.3,2.5,0.8,0.0,0.8,1.0,6.0
Thomas Bryant,25,3,0,15.7,4.3,5.3,.813,0.0,0.3,.000,4.3,5.0,.867,.813,1.7,2.7,.625,0.0,5.7,5.7,0.3,0.0,0.7,0.7,1.3,10.3
Kendrick Nunn,27,15,2,14.0,2.3,6.2,.366,0.9,3.3,.286,1.3,2.9,.455,.441,0.4,0.5,.857,0.1,1.3,1.4,1.3,0.1,0.1,1.5,0.7,5.9
