Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Paolo Banchero,20,11,11,34.6,8.1,17.5,.461,1.0,3.9,.256,7.1,13.6,.520,.490,6.4,8.3,.769,0.8,7.5,8.3,3.6,0.7,0.9,3.0,2.4,23.5
Franz Wagner,21,14,14,34.1,7.5,15.2,.493,0.9,3.8,.245,6.6,11.4,.575,.523,2.7,3.1,.864,1.1,3.1,4.1,4.4,0.8,0.3,2.8,2.2,18.6
Wendell Carter Jr.,23,14,14,32.8,5.6,10.9,.510,1.2,3.3,.370,4.4,7.6,.570,.565,3.9,4.8,.821,2.3,6.9,9.1,3.1,0.6,0.6,2.4,3.1,16.3
Cole Anthony,22,4,3,30.5,5.5,13.3,.415,1.8,5.0,.350,3.8,8.3,.455,.481,2.8,3.8,.733,0.8,4.0,4.8,4.3,0.8,0.8,2.0,3.5,15.5
Jalen Suggs,21,9,8,29.0,4.4,10.6,.421,1.1,4.3,.256,3.3,6.2,.536,.474,1.8,2.9,.615,0.7,2.3,3.0,5.1,1.7,0.4,3.3,3.9,11.8
Terrence Ross,31,13,8,26.4,3.7,8.3,.444,1.8,4.3,.411,1.9,4.0,.481,.551,0.5,0.7,.667,0.5,2.2,2.7,1.5,0.6,0.2,1.2,2.2,9.6
Bol Bol,23,14,9,24.0,4.6,7.2,.634,0.9,1.8,.480,3.7,5.4,.684,.693,1.6,1.9,.852,1.4,6.1,7.6,0.6,0.1,1.9,2.1,1.6,11.6
Chuma Okeke,24,14,3,21.0,2.0,4.9,.412,1.1,3.3,.348,0.9,1.6,.545,.529,0.9,1.2,.765,1.4,2.9,4.4,1.6,0.4,0.5,0.6,1.8,6.1
Caleb Houstan,20,10,0,17.2,1.1,3.1,.355,0.7,2.2,.318,0.4,0.9,.444,.468,0.5,0.6,.833,0.5,1.5,2.0,0.5,0.2,0.1,0.4,1.4,3.4
Mo Bamba,24,13,0,15.2,2.7,5.3,.507,0.7,2.2,.310,2.0,3.1,.650,.572,0.8,1.2,.625,1.2,3.0,4.2,1.0,0.2,0.7,0.8,1.9,6.8
