Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Luka Dončić,23,13,13,37.2,11.6,23.4,.497,2.3,7.9,.291,9.3,15.5,.602,.546,8.8,11.5,.767,1.1,7.8,8.8,7.8,2.1,0.6,3.2,3.2,34.4
Spencer Dinwiddie,29,14,14,33.6,6.4,14.1,.455,3.0,7.3,.412,3.4,6.9,.500,.561,1.8,2.2,.806,0.4,3.0,3.4,5.1,1.3,0.1,1.6,2.3,17.6
Dorian Finney-Smith,29,14,14,33.2,3.4,7.9,.423,1.9,5.4,.342,1.5,2.5,.600,.541,0.6,0.8,.727,1.2,3.0,4.2,0.6,0.9,0.5,1.1,2.1,9.1
Reggie Bullock,31,14,14,29.1,1.6,5.6,.295,1.4,4.6,.292,0.3,0.9,.308,.417,0.3,0.5,.571,0.6,2.4,2.9,0.9,1.0,0.1,0.5,2.9,4.9
Christian Wood,27,12,0,25.1,6.1,10.9,.557,1.4,3.3,.425,4.7,7.6,.615,.622,3.1,4.5,.685,1.2,6.3,7.5,0.9,0.5,0.5,2.3,2.8,16.7
Tim Hardaway Jr.,30,13,0,24.8,3.8,11.4,.331,2.3,7.2,.319,1.5,4.2,.352,.432,2.2,2.5,.906,0.2,1.9,2.1,2.2,0.8,0.2,1.1,1.2,12.1
Maxi Kleber,31,13,0,24.6,1.5,4.0,.385,0.7,2.5,.273,0.8,1.5,.579,.471,0.7,0.9,.750,0.8,2.8,3.6,0.8,0.5,0.7,0.6,1.8,4.5
Dwight Powell,31,11,7,18.7,2.4,3.8,.619,0.0,0.1,.000,2.4,3.7,.634,.619,1.4,1.8,.750,1.9,1.8,3.7,0.6,0.6,0.4,0.7,2.4,6.1
Josh Green,22,14,1,18.3,1.8,3.1,.581,0.8,1.7,.458,1.0,1.4,.737,.709,1.3,2.0,.643,1.0,1.4,2.4,0.8,1.1,0.1,0.7,2.0,5.6
Facundo Campazzo,31,4,0,9.5,0.5,2.8,.182,0.5,2.3,.222,0.0,0.5,.000,.273,0.0,0.0,,0.0,0.5,0.5,2.0,1.5,0.0,0.8,0.5,1.5
