Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Kevin Durant,34,20,20,36.6,10.1,19.1,.530,1.5,4.7,.323,8.6,14.4,.597,.570,7.5,8.2,.915,0.4,6.3,6.7,5.4,0.7,1.9,3.4,2.5,29.2
Kyrie Irving,30,12,12,36.0,9.3,19.6,.477,2.8,8.8,.314,6.6,10.8,.608,.547,3.7,3.9,.936,0.5,3.9,4.4,4.2,1.1,1.0,2.3,2.8,25.1
Royce O'Neale,29,20,20,35.5,3.6,8.9,.404,2.6,5.8,.440,1.1,3.1,.339,.548,0.5,0.7,.714,0.9,4.0,4.9,4.7,1.2,0.7,1.8,3.2,10.3
Ben Simmons,26,15,10,28.8,4.1,6.3,.642,0.0,0.1,.000,4.1,6.3,.649,.642,1.2,2.2,.545,1.0,5.5,6.5,5.9,1.2,0.8,2.3,4.0,9.3
Nic Claxton,23,19,19,26.7,5.4,7.3,.739,0.0,0.1,.000,5.4,7.2,.745,.739,0.9,2.3,.409,2.5,5.9,8.4,1.3,0.7,2.2,1.5,2.8,11.7
Joe Harris,31,18,11,24.9,2.7,7.3,.366,1.7,5.2,.333,0.9,2.1,.447,.485,0.3,0.5,.556,0.6,2.4,3.0,1.9,0.4,0.3,0.6,2.3,7.3
Seth Curry,32,10,0,22.5,3.5,8.2,.427,1.8,4.7,.383,1.7,3.5,.486,.537,0.8,0.9,.889,0.3,1.8,2.1,2.6,0.5,0.4,1.0,1.7,9.6
Yuta Watanabe,28,14,0,18.2,3.0,4.9,.609,1.7,3.0,.571,1.3,1.9,.667,.783,0.4,0.6,.667,0.7,2.2,2.9,0.9,0.2,0.5,0.4,1.1,8.1
Edmond Sumner,27,16,8,16.2,2.6,5.9,.442,0.6,2.3,.278,2.0,3.7,.542,.495,1.9,2.1,.939,0.3,1.3,1.6,1.3,0.9,0.3,1.3,1.5,7.8
Cam Thomas,21,14,0,16.2,2.2,5.8,.383,0.4,1.3,.333,1.8,4.5,.397,.420,2.4,3.0,.786,0.1,1.6,1.6,1.9,0.6,0.1,0.9,0.9,7.2
