Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Kentavious Caldwell-Pope,29,14,14,31.2,4.4,8.7,.508,2.5,4.6,.538,1.9,4.1,.474,.652,1.0,1.3,.778,0.5,2.9,3.4,2.5,1.3,0.3,1.2,2.1,12.4
Nikola Jokić,27,13,13,31.1,7.9,13.1,.606,0.6,2.2,.286,7.3,10.9,.669,.629,4.3,4.9,.875,1.5,7.9,9.5,8.9,1.5,0.6,3.2,2.7,20.8
Aaron Gordon,27,13,13,29.0,5.5,9.6,.576,0.8,2.7,.314,4.7,6.9,.678,.620,2.5,4.1,.623,2.2,4.6,6.8,2.5,0.5,0.8,1.2,1.5,14.5
Jamal Murray,25,13,13,29.0,6.5,15.2,.429,1.7,4.8,.355,4.8,10.5,.463,.485,1.8,2.3,.767,0.6,3.3,3.9,4.5,1.0,0.1,2.2,0.8,16.5
Michael Porter Jr.,24,14,14,28.6,5.9,12.9,.461,3.2,7.1,.450,2.7,5.7,.475,.586,1.4,1.6,.870,1.1,4.8,5.9,1.4,0.6,0.2,1.1,2.8,16.5
Bruce Brown,26,15,4,27.5,4.2,9.0,.467,1.3,3.3,.408,2.9,5.7,.500,.541,0.9,1.1,.824,1.1,2.9,4.1,4.3,0.8,0.6,1.6,1.9,10.7
Bones Hyland,22,11,0,21.5,4.7,12.2,.388,3.1,6.6,.466,1.6,5.5,.295,.515,2.4,2.9,.813,0.2,2.0,2.2,3.7,0.6,0.3,2.0,2.0,14.9
Jeff Green,36,15,2,20.9,3.1,5.9,.523,0.3,1.3,.250,2.7,4.5,.603,.551,1.7,2.3,.765,0.8,1.9,2.7,1.3,0.4,0.2,1.1,2.1,8.2
Christian Braun,21,14,0,15.4,1.5,3.4,.447,0.4,1.2,.353,1.1,2.1,.500,.511,0.4,0.6,.556,0.7,1.5,2.2,1.1,0.4,0.2,0.4,1.1,3.8
DeAndre Jordan,34,13,2,14.9,2.3,2.9,.789,0.1,0.1,1.000,2.2,2.8,.784,.803,0.7,1.5,.450,1.6,3.7,5.3,0.9,0.2,0.7,1.5,1.5,5.4
