Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Tyrese Haliburton,22,13,13,34.0,7.4,15.0,.492,3.0,7.1,.424,4.4,7.9,.553,.592,2.8,3.3,.860,1.0,3.5,4.5,10.4,1.9,0.2,3.0,1.3,20.6
Buddy Hield,30,13,13,31.5,6.7,14.5,.463,4.0,9.6,.416,2.7,4.8,.556,.601,1.5,1.6,.905,1.2,4.1,5.2,3.2,0.8,0.5,1.8,2.2,18.8
Myles Turner,26,8,8,28.6,5.6,10.6,.529,1.4,3.6,.379,4.3,7.0,.607,.594,5.5,6.5,.846,1.5,7.4,8.9,1.6,0.4,3.1,1.9,3.6,18.1
Bennedict Mathurin,20,13,0,27.6,6.2,13.3,.462,2.7,5.9,.455,3.5,7.4,.469,.564,4.9,5.9,.831,1.3,2.5,3.8,2.1,0.4,0.1,2.3,2.2,19.9
Jalen Smith,22,13,13,24.0,4.2,9.5,.435,1.2,4.1,.302,2.9,5.5,.535,.500,1.5,2.2,.679,1.8,5.8,7.5,1.1,0.2,0.8,1.5,2.2,11.0
Aaron Nesmith,23,9,4,20.8,2.4,6.3,.386,1.0,3.4,.290,1.4,2.9,.500,.465,1.0,1.2,.818,0.3,2.8,3.1,1.6,0.3,0.8,1.0,2.6,6.9
Andrew Nembhard,23,12,4,20.3,2.7,5.8,.457,1.3,3.1,.405,1.4,2.8,.515,.564,0.6,0.6,1.000,0.3,1.9,2.3,3.1,0.9,0.1,1.0,2.3,7.2
Chris Duarte,25,9,5,19.7,3.1,7.9,.394,1.4,4.2,.342,1.7,3.7,.455,.486,1.2,1.3,.917,0.4,1.7,2.1,1.0,0.1,0.4,0.9,1.8,8.9
Isaiah Jackson,21,13,3,18.3,3.2,5.2,.618,0.0,0.1,.000,3.2,5.2,.627,.618,1.9,2.8,.676,1.5,3.5,5.1,1.2,0.5,1.4,1.2,2.6,8.4
T.J. McConnell,30,12,0,16.3,1.9,4.8,.397,0.0,0.2,.000,1.9,4.7,.411,.397,0.2,0.3,.667,0.6,1.8,2.3,3.4,1.1,0.3,1.8,1.2,4.0
