Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
CJ McCollum,31,17,17,35.1,7.4,17.9,.410,2.4,7.1,.342,4.9,10.9,.454,.477,1.6,2.0,.794,1.1,4.0,5.1,6.1,1.2,0.6,2.1,1.8,18.7
Brandon Ingram,25,13,13,33.2,7.9,16.6,.477,2.1,4.3,.482,5.8,12.3,.475,.539,4.2,4.9,.844,0.5,4.8,5.4,4.4,1.0,0.8,2.7,2.4,22.1
Zion Williamson,22,12,12,31.5,8.5,15.2,.560,0.3,0.5,.500,8.3,14.7,.563,.569,5.1,7.1,.718,1.9,4.1,6.0,3.9,1.0,0.3,2.7,2.6,22.3
Herbert Jones,24,13,13,29.1,3.7,7.9,.466,0.6,2.4,.258,3.1,5.5,.556,.505,2.3,3.2,.732,1.3,2.5,3.8,2.1,1.2,0.7,1.1,3.6,10.3
Trey Murphy III,22,16,7,27.1,3.9,8.0,.484,2.3,5.3,.429,1.6,2.8,.591,.625,1.3,1.4,.955,1.1,3.3,4.4,1.3,1.0,0.4,0.7,1.6,11.3
Jonas Valančiūnas,30,17,17,23.6,4.9,9.2,.529,0.5,1.2,.400,4.4,8.1,.547,.554,2.9,3.6,.806,3.0,6.3,9.3,2.1,0.4,0.3,1.6,2.4,13.2
Larry Nance Jr.,30,16,0,23.3,4.3,6.4,.676,0.3,0.8,.417,4.0,5.6,.711,.701,1.0,1.3,.800,1.8,4.0,5.8,2.1,0.9,0.8,1.1,2.0,9.9
Naji Marshall,25,17,4,20.3,2.5,5.9,.420,0.7,2.2,.316,1.8,3.6,.484,.480,0.9,1.2,.762,0.8,2.2,3.0,1.9,0.6,0.2,0.9,1.2,6.6
Jose Alvarado,24,17,2,19.2,3.4,6.9,.483,1.3,3.6,.361,2.1,3.4,.614,.576,0.5,0.7,.750,0.5,1.8,2.3,2.9,0.9,0.2,1.2,2.2,8.5
Devonte' Graham,27,17,0,15.4,1.7,4.1,.414,1.5,3.5,.441,0.2,0.6,.273,.600,0.5,0.8,.692,0.1,1.2,1.3,2.2,0.5,0.2,0.5,0.7,5.5
