Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Cade Cunningham,21,12,12,33.3,7.8,18.7,.415,1.4,5.1,.279,6.3,13.6,.466,.453,3.0,3.6,.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9
Jaden Ivey,20,15,15,32.0,5.9,13.5,.433,1.5,4.6,.319,4.4,8.9,.493,.488,3.1,4.2,.730,1.3,3.7,4.9,4.1,1.3,0.3,2.7,3.1,16.3
Saddiq Bey,23,16,15,31.6,4.8,11.5,.413,1.7,5.7,.297,3.1,5.8,.527,.486,4.2,4.6,.918,1.2,3.7,4.9,1.6,0.9,0.2,1.4,1.8,15.4
Bojan Bogdanović,33,16,16,31.4,6.8,13.4,.505,2.8,6.6,.419,4.0,6.8,.587,.607,4.3,4.9,.872,0.4,3.1,3.5,2.2,0.5,0.0,2.1,2.0,20.5
Isaiah Stewart,21,15,15,27.0,3.8,8.0,.475,1.2,3.6,.333,2.6,4.4,.591,.550,3.2,4.3,.738,2.9,6.5,9.3,1.3,0.5,0.7,1.1,3.0,12.0
Marvin Bagley III,23,3,2,23.3,3.0,7.0,.429,0.3,1.3,.250,2.7,5.7,.471,.452,1.7,1.7,1.000,2.3,3.3,5.7,0.3,0.3,0.7,1.3,2.0,8.0
Jalen Duren,19,13,0,21.5,2.7,4.8,.556,0.0,0.1,.000,2.7,4.8,.565,.556,0.9,2.4,.387,2.9,4.5,7.4,0.3,0.3,1.2,1.1,2.1,6.3
Killian Hayes,21,16,3,21.2,2.1,7.0,.295,0.5,2.2,.229,1.6,4.8,.325,.330,0.7,0.9,.786,0.5,2.1,2.6,3.3,1.1,0.4,1.6,2.4,5.3
Alec Burks,31,3,0,20.0,3.7,8.3,.440,1.0,3.3,.300,2.7,5.0,.533,.500,4.3,5.7,.765,0.0,2.0,2.0,1.7,0.7,0.0,0.7,2.3,12.7
Isaiah Livers,24,14,0,19.1,1.8,4.9,.362,1.4,3.9,.345,0.4,1.0,.429,.500,0.9,1.2,.765,0.7,1.9,2.6,0.6,0.4,0.4,0.5,1.9,5.9
