Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Pascal Siakam,28,55,55,37.5,8.9,18.7,.476,1.4,4.1,.341,7.5,14.6,.514,.513,5.6,7.3,.772,1.9,5.9,7.7,6.0,0.9,0.5,2.5,3.3,24.8
Fred VanVleet,28,53,53,37.0,6.4,16.2,.391,3.0,8.8,.340,3.4,7.4,.452,.484,3.7,4.1,.894,0.5,3.8,4.3,6.8,1.6,0.6,1.8,2.8,19.4
OG Anunoby,25,51,51,35.8,6.1,13.4,.452,1.8,5.2,.353,4.2,8.2,.514,.520,2.4,2.9,.830,1.5,3.9,5.3,2.0,2.0,0.8,2.2,3.1,16.4
Scottie Barnes,21,62,61,35.3,6.0,13.2,.451,0.9,3.0,.302,5.0,10.2,.496,.486,2.5,3.3,.761,2.3,4.6,6.9,4.8,1.0,0.9,2.0,2.2,15.4
Gary Trent Jr.,24,56,43,33.3,6.4,14.8,.437,2.7,7.2,.370,3.8,7.6,.501,.527,2.8,3.3,.837,0.4,2.2,2.6,1.6,1.6,0.3,0.9,1.6,18.3
Jakob Poeltl,27,9,8,27.2,6.3,8.3,.760,0.0,0.0,,6.3,8.3,.760,.760,2.4,4.1,.595,3.0,5.9,8.9,2.2,1.9,1.8,1.0,3.2,15.1
Precious Achiuwa,23,41,11,22.6,3.7,7.8,.477,0.5,1.9,.253,3.2,5.9,.550,.508,1.8,2.6,.689,2.0,4.3,6.3,1.0,0.6,0.6,1.2,2.0,9.7
Chris Boucher,30,59,0,20.4,3.5,7.1,.496,0.9,2.6,.336,2.6,4.5,.589,.558,1.8,2.5,.738,2.2,3.5,5.7,0.4,0.7,0.8,0.5,1.9,9.7
Otto Porter Jr.,29,8,2,18.3,1.9,3.8,.500,0.8,2.1,.353,1.1,1.6,.692,.600,1.0,1.0,1.000,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,5.5
Thaddeus Young,34,52,9,15.1,2.1,3.8,.551,0.1,0.7,.176,2.0,3.1,.630,.566,0.3,0.5,.692,1.3,1.8,3.2,1.4,1.0,0.1,0.8,1.7,4.6
