Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Kevin Porter Jr.,22,12,12,35.2,6.4,15.9,.403,1.8,5.3,.344,4.6,10.6,.433,.461,4.2,5.3,.794,1.6,4.5,6.1,6.1,1.3,0.3,3.8,2.8,18.8
Jalen Green,20,12,12,33.9,7.4,17.9,.414,2.8,7.8,.362,4.6,10.1,.455,.493,3.2,4.2,.760,0.7,3.5,4.2,2.6,0.8,0.3,2.5,1.8,20.8
Eric Gordon,34,10,10,30.7,4.3,9.7,.443,2.0,5.4,.370,2.3,4.3,.535,.546,2.1,2.6,.808,0.2,1.9,2.1,3.2,0.9,0.4,1.9,0.8,12.7
Jabari Smith Jr.,19,11,11,29.8,3.4,10.9,.308,1.8,6.2,.294,1.5,4.7,.327,.392,1.9,2.2,.875,1.1,4.9,6.0,0.7,0.2,1.0,1.3,3.6,10.5
Alperen Şengün,20,10,7,27.0,6.1,10.5,.581,0.3,1.2,.250,5.8,9.3,.624,.595,4.6,5.8,.793,4.1,5.6,9.7,2.1,0.7,1.1,2.0,3.1,17.1
Kenyon Martin Jr.,22,12,3,25.5,4.3,8.3,.510,1.3,3.7,.364,2.9,4.7,.625,.590,1.6,2.4,.655,1.2,3.7,4.8,1.7,0.5,0.7,1.1,2.3,11.4
Jae'Sean Tate,27,3,2,22.7,3.3,6.7,.500,0.7,1.7,.400,2.7,5.0,.533,.550,1.0,1.3,.750,2.7,1.7,4.3,3.3,1.0,0.0,1.7,5.0,8.3
Bruno Fernando,24,2,2,18.5,2.5,3.0,.833,0.0,0.0,,2.5,3.0,.833,.833,0.5,1.0,.500,2.5,4.0,6.5,4.5,0.5,1.0,0.5,1.5,5.5
Tari Eason,21,12,0,18.2,3.3,7.7,.435,0.8,1.8,.455,2.5,5.8,.429,.489,1.1,1.4,.765,2.3,2.8,5.2,1.1,1.4,0.6,0.8,2.3,8.6
Usman Garuba,20,10,1,14.2,1.5,2.7,.556,0.3,0.4,.750,1.2,2.3,.522,.611,0.4,0.9,.444,2.4,3.1,5.5,1.2,0.9,0.4,1.2,1.7,3.7
