Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Keldon Johnson,23,56,56,32.6,7.8,17.3,.448,2.1,6.4,.319,5.7,10.9,.524,.507,4.0,5.2,.767,0.8,4.0,4.8,2.8,0.7,0.2,2.2,1.9,21.6
Devin Vassell,22,31,25,30.9,7.1,15.9,.444,2.8,7.0,.394,4.3,8.9,.484,.531,2.3,2.9,.787,0.2,3.6,3.8,3.6,1.2,0.4,1.5,1.4,19.2
Tre Jones,23,54,53,29.1,4.9,11.2,.435,0.7,2.5,.269,4.2,8.7,.483,.465,2.1,2.4,.891,0.8,2.7,3.6,6.2,1.3,0.1,1.7,1.4,12.5
Devonte' Graham,27,10,3,27.7,4.4,11.6,.379,3.3,8.7,.379,1.1,2.9,.379,.522,3.3,4.0,.825,0.6,2.0,2.6,4.3,0.6,0.4,1.0,1.6,15.4
Jeremy Sochan,19,52,49,26.2,4.3,9.7,.444,0.6,2.3,.244,3.7,7.4,.507,.473,1.4,2.1,.701,1.8,3.4,5.1,2.6,0.8,0.4,1.7,2.5,10.6
Malaki Branham,19,50,17,22.6,3.7,8.4,.447,1.1,3.6,.313,2.6,4.8,.548,.514,0.8,1.0,.800,0.4,2.0,2.4,2.0,0.5,0.1,1.1,1.7,9.4
Zach Collins,25,53,16,21.8,4.0,7.8,.517,0.7,1.9,.356,3.4,5.9,.569,.560,1.6,2.1,.750,1.8,4.2,6.1,2.7,0.5,0.7,1.9,3.2,10.3
Keita Bates-Diop,27,51,29,21.3,3.2,6.5,.486,0.6,1.7,.341,2.6,4.8,.539,.532,1.6,2.0,.792,1.0,2.4,3.4,1.3,0.7,0.3,0.8,1.1,8.5
Doug McDermott,31,55,0,20.4,3.6,7.9,.457,1.8,4.5,.411,1.8,3.4,.519,.574,0.7,0.9,.745,0.3,1.8,2.1,1.4,0.2,0.1,0.9,1.8,9.8
Romeo Langford,23,33,19,20.0,3.1,6.3,.483,0.4,1.5,.271,2.7,4.9,.547,.514,0.8,1.2,.641,1.4,1.4,2.8,1.3,0.5,0.3,0.7,1.7,7.3
