Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Devin Booker,26,15,15,37.1,9.9,20.5,.481,2.3,6.3,.362,7.6,14.3,.533,.536,6.1,6.8,.892,0.9,3.9,4.8,6.1,1.1,0.6,2.6,2.5,28.1
Mikal Bridges,26,15,15,37.1,6.0,11.0,.545,1.4,3.1,.447,4.6,7.9,.585,.609,2.5,2.9,.884,1.2,4.3,5.5,3.4,1.1,1.1,1.3,2.1,15.9
Chris Paul,37,10,10,30.2,2.8,7.6,.368,0.9,3.3,.273,1.9,4.3,.442,.428,3.0,3.4,.882,0.5,4.0,4.5,9.4,1.7,0.2,1.5,2.3,9.5
Deandre Ayton,24,13,13,28.3,6.6,11.6,.570,0.2,0.7,.333,6.4,10.9,.585,.579,1.3,1.7,.773,2.8,5.0,7.8,2.1,0.5,0.7,2.3,3.3,14.8
Cameron Johnson,26,8,8,25.3,4.6,10.4,.446,2.8,6.4,.431,1.9,4.0,.469,.578,1.0,1.4,.727,0.6,2.8,3.4,1.8,1.1,0.4,0.3,1.8,13.0
Cameron Payne,28,13,5,23.6,5.0,11.5,.436,2.2,5.1,.424,2.8,6.4,.446,.530,1.4,1.7,.818,0.2,2.2,2.4,4.2,1.1,0.2,2.1,2.2,13.5
Torrey Craig,32,15,7,21.3,2.7,5.5,.494,1.3,3.1,.426,1.4,2.4,.583,.614,0.4,0.6,.667,1.8,2.9,4.7,1.5,0.7,0.5,0.7,2.2,7.2
Damion Lee,30,15,0,20.1,2.3,5.3,.430,1.7,3.6,.481,0.5,1.7,.320,.595,0.8,0.9,.857,0.5,2.5,2.9,1.0,0.5,0.0,0.6,1.5,7.1
Landry Shamet,25,9,0,16.2,2.2,5.6,.400,1.3,3.7,.364,0.9,1.9,.471,.520,1.2,1.4,.846,0.2,0.4,0.7,1.2,0.6,0.1,0.9,1.3,7.0
Jock Landale,27,15,0,14.8,2.9,5.6,.512,0.2,1.7,.115,2.7,3.9,.690,.530,1.4,1.8,.778,1.6,2.5,4.1,0.7,0.3,0.8,0.8,2.4,7.3
