Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Joel Embiid,C,7-0,28,66,66,32.0,11.0,20.1,.548,1.0,3.0,.330,10.0,17.1,.587,.573,10.0,11.7,.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,2284,31.4,.655,.151,.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,37.0,8.4,3.9,12.3,.259,6.8,2.3,9.2,6.4
Tyrese Maxey,SG,6-2,22,60,41,31.0,7.3,15.2,.481,2.7,6.2,.434,4.7,9.1,.513,.568,3.0,3.6,.845,0.4,2.6,2.9,3.5,0.8,0.1,1.3,2.2,20.3,2016,17.0,.605,.404,.233,1.4,8.8,5.2,16.9,1.2,0.4,7.4,24.1,3.7,1.6,5.4,.128,1.9,-1.2,0.7,1.3
Tobias Harris,PF,6-8,30,74,74,30.0,5.7,11.4,.501,1.7,4.4,.389,4.0,7.0,.570,.575,1.5,1.7,.876,0.9,4.8,5.7,2.5,0.9,0.5,1.2,2.0,14.7,2436,14.8,.602,.383,.153,3.3,17.0,10.3,11.4,1.4,1.5,9.0,18.2,3.1,2.8,5.9,.116,0.6,0.1,0.7,1.7
Louis King,SF,6-7,23,1,0,27.0,8.0,13.0,.615,4.0,8.0,.500,4.0,5.0,.800,.769,0.0,1.0,.000,2.0,2.0,4.0,2.0,1.0,0.0,2.0,4.0,20.0,29,21.3,.744,.615,.077,8.3,8.0,8.1,12.2,1.7,0.0,13.0,23.8,0.1,0.0,0.1,.157,3.3,-1.0,2.3,0.0
De'Anthony Melton,PG,6-2,24,77,58,26.0,3.6,8.5,.425,2.0,5.2,.390,1.6,3.2,.484,.546,0.9,1.1,.793,0.9,3.2,4.1,2.6,1.6,0.5,1.3,2.5,10.1,2150,12.7,.566,.619,.134,3.9,13.1,8.6,12.9,2.9,1.8,12.9,16.4,1.1,3.1,4.2,.095,-0.7,1.6,0.9,1.6
P.J. Tucker,PF,6-5,37,75,75,23.0,1.3,3.0,.427,0.7,1.9,.393,0.5,1.1,.482,.549,0.3,0.3,.826,1.3,2.7,3.9,0.8,0.5,0.2,0.6,2.4,3.5,1920,5.7,.566,.622,.102,5.9,12.1,9.1,3.9,1.0,0.7,15.8,6.5,0.9,1.7,2.5,.064,-3.2,0.1,-3.0,-0.5
Shake Milton,SG,6-5,26,76,11,19.0,3.2,6.6,.479,0.7,1.9,.378,2.4,4.7,.521,.535,1.3,1.5,.853,0.5,2.0,2.5,3.2,0.3,0.2,1.2,1.6,8.4,1567,12.7,.575,.294,.231,3.0,11.3,7.2,22.3,0.8,0.8,14.5,18.5,1.6,1.2,2.9,.087,-1.0,-0.9,-2.0,0.0
Mac McClung,SG,6-2,24,2,0,19.0,4.5,10.0,.450,2.0,5.5,.364,2.5,4.5,.556,.550,1.5,2.5,.600,1.5,3.5,5.0,4.5,0.0,0.0,1.5,1.5,12.5,41,19.2,.563,.550,.250,8.8,19.8,14.4,35.3,0.0,0.0,11.9,27.5,0.1,0.0,0.1,.140,2.2,-1.7,0.5,0.0
Georges Niang,PF,6-7,29,78,1,18.0,2.8,6.4,.442,2.0,4.9,.401,0.9,1.5,.576,.596,0.5,0.6,.867,0.2,2.1,2.4,1.0,0.4,0.2,0.7,1.9,8.2,1512,10.9,.610,.765,.090,1.5,12.8,7.2,7.3,1.0,0.9,9.4,17.0,1.1,1.4,2.5,.078,-0.4,-1.0,-1.4,0.2
Jalen McDaniels,SF,6-9,25,24,3,15.0,2.5,5.1,.488,0.5,1.3,.400,2.0,3.9,.516,.537,1.2,1.4,.824,0.8,2.4,3.2,0.8,0.7,0.2,0.5,2.1,6.7,419,12.5,.580,.244,.276,5.5,15.8,10.7,6.5,2.0,1.1,8.6,16.1,0.4,0.5,1.0,.109,-2.5,-0.1,-2.6,-0.1
PHI,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.01307857829596959,0.002089608433734902,0.013078578295969479,-0.0020896084337349574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
