Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jayson Tatum,PF,6-8,24,74,74,34.0,9.8,21.1,.466,3.2,9.3,.350,6.6,11.8,.558,.543,7.2,8.4,.854,1.1,7.7,8.8,4.6,1.1,0.7,2.9,2.2,30.1,2732,23.7,.607,.440,.399,3.2,22.5,13.0,20.9,1.4,1.6,10.4,32.7,6.2,4.3,10.5,.185,4.8,0.7,5.5,5.1
Jaylen Brown,SF,6-6,26,67,67,33.0,10.1,20.6,.491,2.4,7.3,.335,7.7,13.4,.576,.550,3.9,5.1,.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.6,2405,19.1,.581,.352,.249,3.6,17.0,10.4,16.5,1.5,0.9,11.4,31.4,1.6,3.4,5.0,.100,1.5,-0.2,1.3,2.0
Marcus Smart,PG,6-3,28,61,61,30.0,4.1,9.9,.415,1.9,5.6,.336,2.2,4.3,.519,.511,1.4,1.9,.746,0.8,2.4,3.1,6.3,1.5,0.4,2.3,2.8,11.5,1957,12.1,.538,.568,.196,2.6,8.0,5.3,26.4,2.3,1.0,17.9,17.8,1.0,2.7,3.7,.092,-1.8,0.8,-1.0,0.5
Al Horford,C,6-9,36,63,63,28.0,3.6,7.6,.476,2.3,5.2,.446,1.3,2.4,.539,.627,0.2,0.3,.714,1.2,5.0,6.2,3.0,0.5,1.0,0.6,1.9,9.8,1922,13.8,.631,.678,.044,4.2,17.7,11.1,13.2,0.8,2.7,7.0,11.9,3.6,2.7,6.3,.157,1.6,1.7,3.3,2.5
Derrick White,SG,6-4,28,82,70,26.0,4.3,9.2,.462,1.8,4.8,.381,2.5,4.5,.548,.560,2.0,2.3,.875,0.6,2.9,3.6,3.9,0.7,0.9,1.2,2.2,12.4,2319,15.4,.604,.516,.253,2.5,11.2,6.9,19.4,1.1,2.8,10.1,17.7,4.4,3.1,7.4,.154,1.1,1.3,2.4,2.6
Malcolm Brogdon,PG,6-5,30,67,0,24.0,5.3,10.9,.484,2.0,4.4,.444,3.3,6.5,.510,.574,2.4,2.7,.870,0.6,3.6,4.2,3.7,0.7,0.3,1.5,1.6,14.9,1744,18.2,.615,.406,.251,2.7,14.7,8.8,21.5,1.3,0.9,10.8,22.8,3.6,2.2,5.8,.161,2.3,0.6,2.8,2.1
Robert Williams,C,6-9,25,35,20,22.0,3.6,4.9,.747,0.0,0.0,.000,3.6,4.8,.751,.747,0.7,1.2,.610,3.0,5.4,8.3,1.4,0.6,1.4,1.0,1.9,8.0,824,19.8,.742,.006,.241,14.0,24.5,19.3,8.5,1.3,5.0,15.3,11.8,2.3,1.6,3.8,.224,1.0,2.4,3.3,1.1
Mike Muscala,C,6-10,31,20,4,15.0,2.1,4.5,.472,1.3,3.3,.385,0.9,1.2,.708,.612,0.5,0.7,.692,0.7,2.7,3.4,0.6,0.2,0.3,0.5,1.4,5.9,323,11.6,.623,.730,.146,4.8,18.0,11.5,5.0,0.6,1.3,8.7,14.0,0.4,0.4,0.8,.116,-1.5,0.1,-1.4,0.1
Sam Hauser,PF,6-8,25,80,8,15.0,2.3,5.0,.455,1.8,4.2,.418,0.5,0.8,.656,.631,0.2,0.2,.706,0.4,2.1,2.6,0.9,0.4,0.3,0.4,1.2,6.4,1290,12.7,.634,.846,.043,3.0,14.1,8.6,7.6,1.1,1.4,6.9,14.7,1.8,1.6,3.4,.128,0.6,0.4,1.0,1.0
Blake Griffin,C,6-9,33,41,16,13.0,1.5,3.2,.485,0.6,1.6,.348,1.0,1.6,.625,.573,0.5,0.8,.656,1.1,2.6,3.8,1.5,0.3,0.2,0.5,1.8,4.1,569,13.1,.590,.508,.246,9.2,20.4,14.9,14.2,1.2,1.4,13.2,12.7,1.0,0.8,1.8,.153,-1.4,1.5,0.1,0.3
BOS,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01263242729091607,0.0020499594967680057,-0.01263242729091607,-0.00204995949676795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
