Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
LeBron James,PF,6-9,38,55,54,31.0,11.1,22.2,.500,2.2,6.9,.321,8.9,15.3,.580,.549,4.6,5.9,.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9,1954,23.9,.583,.309,.268,3.7,20.8,12.5,33.5,1.2,1.4,11.6,33.3,3.2,2.4,5.6,.138,5.5,0.6,6.1,4.0
Anthony Davis,C,6-10,29,56,54,29.0,9.7,17.2,.563,0.3,1.3,.257,9.3,15.9,.589,.573,6.2,7.9,.784,3.5,9.1,12.5,2.6,1.1,2.0,2.2,2.6,25.9,1904,27.8,.627,.077,.462,11.3,27.6,19.7,13.0,1.5,5.1,9.5,28.4,5.5,3.4,9.0,.226,4.6,1.7,6.3,4.0
D'Angelo Russell,PG,6-4,26,17,17,27.0,6.3,13.0,.484,2.7,6.5,.414,3.6,6.5,.555,.588,2.1,2.9,.735,0.4,2.5,2.9,6.1,0.6,0.5,2.3,1.4,17.4,526,17.1,.610,.502,.222,1.5,8.5,5.1,28.8,0.9,1.3,13.9,22.6,0.9,0.4,1.3,.118,3.1,-0.7,2.4,0.6
Dennis Schröder,PG,6-3,29,66,50,26.0,4.1,9.8,.415,1.1,3.4,.329,3.0,6.4,.461,.472,3.3,3.8,.857,0.3,2.2,2.5,4.5,0.8,0.2,1.7,2.2,12.6,1986,11.5,.545,.346,.388,1.2,7.5,4.4,20.1,1.2,0.4,12.8,18.6,1.3,1.5,2.8,.068,-2.4,-0.5,-2.9,-0.4
Austin Reaves,SG,6-5,24,64,22,25.0,4.0,7.7,.529,1.3,3.4,.398,2.7,4.3,.631,.616,3.6,4.1,.864,0.5,2.5,3.0,3.4,0.5,0.3,1.5,1.7,13.0,1843,14.9,.687,.441,.541,2.0,9.0,5.6,15.7,0.8,0.9,14.0,16.2,4.1,1.4,5.4,.142,0.6,0.1,0.7,1.2
Troy Brown Jr.,SF,6-6,23,76,45,21.0,2.6,6.1,.430,1.4,3.7,.381,1.2,2.4,.505,.545,0.4,0.5,.872,0.8,3.2,4.1,1.3,0.8,0.2,0.6,1.6,7.1,1860,9.6,.561,.604,.084,3.7,13.7,8.9,6.6,1.5,0.7,9.2,12.1,1.0,2.0,2.9,.075,-1.8,0.8,-1.0,0.5
Jarred Vanderbilt,PF,6-9,23,26,24,21.0,2.8,5.4,.529,0.4,1.3,.303,2.5,4.1,.598,.564,1.1,1.4,.784,1.9,4.8,6.7,1.6,1.2,0.2,1.1,2.2,7.2,625,13.2,.598,.236,.264,8.7,20.6,14.8,8.8,2.3,0.8,15.7,12.5,0.6,0.9,1.5,.118,-1.7,1.9,0.2,0.4
Malik Beasley,SG,6-4,26,26,14,21.0,4.0,10.3,.392,2.5,7.2,.353,1.5,3.1,.481,.515,0.5,0.8,.619,0.3,3.0,3.3,1.2,0.8,0.0,1.2,1.2,11.1,621,9.7,.521,.698,.078,1.4,13.0,7.4,7.0,1.6,0.1,9.8,20.9,-0.5,0.6,0.2,.012,-2.3,-0.6,-2.9,-0.1
Lonnie Walker IV,SG,6-4,24,56,32,20.0,4.2,9.4,.448,1.6,4.4,.365,2.6,5.0,.522,.534,1.6,1.9,.858,0.3,1.7,1.9,1.1,0.5,0.3,0.8,1.3,11.7,1297,12.2,.570,.472,.201,1.2,7.6,4.5,7.0,1.1,1.1,7.4,20.2,0.8,1.0,1.8,.066,-0.9,-0.5,-1.4,0.2
Rui Hachimura,PF,6-8,24,33,9,19.0,3.8,7.9,.485,0.6,2.2,.296,3.2,5.7,.556,.525,1.3,1.8,.721,1.0,3.7,4.7,0.7,0.2,0.4,0.5,1.0,9.6,738,12.7,.553,.273,.235,5.1,17.0,11.2,4.4,0.5,1.6,5.6,17.4,0.5,0.7,1.2,.081,-1.4,-0.5,-1.9,0.0
LAL,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0012437922642407617,0.007799975336046316,0.0012437922642406507,-0.007799975336046372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
