Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Damian Lillard,PG,6-2,32,58,58,30.0,9.6,20.7,.463,4.2,11.3,.371,5.4,9.4,.574,.564,8.8,9.6,.914,0.8,4.0,4.8,7.3,0.9,0.3,3.3,1.9,32.2,2107,26.7,.645,.547,.464,2.4,12.8,7.6,35.0,1.2,0.8,11.7,33.8,8.2,0.8,9.0,.205,8.3,-1.2,7.1,4.9
Jerami Grant,PF,6-8,28,63,63,29.0,6.9,14.5,.475,2.3,5.7,.401,4.6,8.8,.523,.554,4.4,5.4,.813,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,20.5,2246,16.0,.606,.393,.375,2.7,11.9,7.2,10.3,1.1,2.1,9.8,22.8,3.1,1.0,4.1,.087,1.3,-1.4,-0.2,1.0
Anfernee Simons,SG,6-3,23,62,62,28.0,7.5,16.9,.447,3.4,9.1,.377,4.1,7.8,.528,.548,2.6,2.9,.894,0.3,2.3,2.6,4.1,0.7,0.2,2.1,2.3,21.1,2171,14.8,.581,.538,.171,0.9,7.6,4.3,18.6,0.9,0.6,10.2,25.1,2.1,0.3,2.5,.054,1.3,-2.5,-1.1,0.5
Skylar Mays,SG,6-4,25,6,6,26.0,5.7,11.3,.500,2.0,4.3,.462,3.7,7.0,.524,.588,2.0,2.2,.923,0.3,2.8,3.2,8.3,1.0,0.2,1.7,1.8,15.3,189,19.4,.624,.382,.191,1.2,10.4,5.8,40.0,1.5,0.5,11.9,19.3,0.6,0.1,0.7,.171,2.3,-1.9,0.4,0.1
Matisse Thybulle,SG,6-5,25,22,22,23.0,2.7,6.2,.438,1.5,3.9,.388,1.2,2.4,.519,.558,0.5,0.7,.625,0.9,2.6,3.5,1.4,1.7,0.8,0.7,2.2,7.4,609,11.0,.566,.620,.117,3.7,10.8,7.3,6.6,3.0,2.6,10.0,11.4,0.3,0.6,0.9,.070,-2.2,1.1,-1.2,0.1
Cam Reddish,SF,6-8,23,20,12,22.0,3.9,8.8,.443,1.4,4.4,.318,2.5,4.4,.568,.523,1.8,2.1,.833,0.6,2.3,2.9,1.9,1.2,0.3,1.6,2.0,11.0,552,10.6,.563,.500,.239,2.3,9.6,5.9,9.6,2.1,1.0,14.1,17.8,0.0,0.3,0.3,.025,-3.0,-1.4,-4.3,-0.3
Justise Winslow,SF,6-6,26,29,11,22.0,2.8,6.8,.409,0.5,1.6,.311,2.3,5.3,.438,.444,0.7,1.0,.714,1.7,3.3,5.0,3.4,1.0,0.4,1.5,3.1,6.8,776,9.3,.466,.227,.141,7.2,14.3,10.7,17.2,1.9,1.3,17.0,14.2,-0.1,0.5,0.4,.022,-3.5,0.7,-2.8,-0.2
Jusuf Nurkić,C,6-11,28,52,52,22.0,5.0,9.7,.519,0.8,2.3,.361,4.2,7.4,.567,.561,2.4,3.7,.661,2.2,6.9,9.1,2.9,0.8,0.8,2.3,3.6,13.3,1391,17.3,.589,.236,.380,9.3,29.7,19.5,16.4,1.5,2.8,16.8,22.1,1.2,1.5,2.7,.092,-0.6,0.7,0.1,0.7
Jeenathan Williams,SG,6-5,23,5,4,21.0,4.8,7.8,.615,0.6,1.6,.375,4.2,6.2,.677,.654,0.4,0.6,.667,2.0,1.0,3.0,2.0,0.6,0.4,0.8,2.6,10.6,127,15.5,.657,.205,.077,9.0,4.6,6.8,12.1,1.2,1.4,9.0,15.2,0.3,0.0,0.3,.120,-0.9,-2.1,-3.0,0.0
Shaedon Sharpe,SG,6-6,19,80,15,17.0,3.8,8.1,.472,1.3,3.5,.360,2.6,4.6,.559,.551,0.9,1.3,.714,0.8,2.2,3.0,1.2,0.5,0.3,1.0,1.7,9.9,1779,11.5,.568,.437,.162,4.0,11.3,7.6,7.9,1.0,1.2,10.7,19.0,0.6,0.6,1.2,.032,-1.3,-2.0,-3.3,-0.6
POR,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005090082908163263,0.006380585020893559,-0.005090082908163263,-0.006380585020893614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
