Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kyle Kuzma,PF,6-9,27,64,64,35.0,8.0,17.8,.448,2.5,7.5,.333,5.5,10.3,.533,.518,2.7,3.7,.730,0.9,6.4,7.2,3.7,0.6,0.5,3.0,2.3,21.2,2239,14.3,.544,.421,.208,2.8,19.5,11.5,16.5,0.8,1.1,13.2,27.9,-1.0,1.9,0.9,.019,-0.2,-1.5,-1.7,0.2
Bradley Beal,SG,6-4,29,50,50,34.0,8.9,17.6,.506,1.6,4.4,.365,7.3,13.2,.552,.551,3.8,4.6,.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,1673,19.7,.593,.249,.260,2.8,9.9,6.5,26.6,1.3,1.7,12.9,29.2,2.2,1.2,3.4,.099,2.9,-1.2,1.8,1.6
Kristaps Porziņģis,C,7-3,27,65,65,33.0,7.8,15.7,.498,2.1,5.5,.385,5.7,10.2,.559,.565,5.4,6.4,.851,1.8,6.6,8.4,2.7,0.9,1.5,2.1,3.0,23.2,2120,23.1,.627,.350,.409,6.2,21.8,14.3,12.9,1.3,4.0,10.2,27.4,5.0,2.7,7.7,.174,3.8,0.5,4.3,3.4
Corey Kispert,SF,6-7,23,74,45,28.0,3.9,7.9,.497,2.2,5.2,.424,1.7,2.7,.637,.637,1.0,1.2,.852,0.4,2.4,2.8,1.2,0.4,0.1,0.7,1.3,11.1,2093,11.5,.657,.656,.150,1.8,8.9,5.5,5.7,0.7,0.4,8.1,14.1,2.9,0.9,3.8,.088,-0.1,-1.4,-1.5,0.3
Monte Morris,PG,6-2,27,62,61,27.0,4.0,8.3,.480,1.3,3.3,.382,2.7,5.0,.543,.555,1.0,1.2,.831,0.4,3.0,3.4,5.3,0.7,0.2,1.0,1.2,10.3,1695,15.0,.579,.396,.150,1.8,11.6,6.9,26.4,1.2,0.6,9.9,15.6,3.1,1.1,4.2,.120,0.8,-0.4,0.5,1.1
Delon Wright,PG,6-5,30,50,14,25.0,2.8,5.8,.474,0.8,2.4,.345,1.9,3.4,.564,.545,1.0,1.2,.867,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,7.4,1221,16.3,.581,.409,.206,5.5,10.7,8.2,20.9,3.7,1.2,12.2,12.9,2.1,1.6,3.7,.146,0.4,3.1,3.4,1.7
Johnny Davis,SG,6-5,20,28,5,15.0,2.4,6.1,.386,0.6,2.5,.243,1.8,3.6,.485,.436,0.5,1.0,.519,0.3,1.9,2.3,1.0,0.4,0.3,0.6,1.7,5.8,423,7.2,.446,.409,.158,2.5,13.7,8.3,9.2,1.2,1.6,8.0,20.4,-0.6,0.3,-0.3,-0.031,-5.8,-1.7,-7.4,-0.6
Quenton Jackson,PG,6-5,24,9,0,15.0,2.1,4.7,.452,0.1,1.3,.083,2.0,3.3,.600,.464,1.9,2.4,.773,0.2,0.7,0.9,1.7,0.4,0.1,0.4,1.1,6.2,135,12.2,.542,.286,.524,1.7,4.8,3.3,15.1,1.4,0.6,7.2,17.9,0.1,0.1,0.2,.078,-3.7,-1.5,-5.2,-0.1
Kendrick Nunn,PG,6-2,27,31,0,14.0,2.9,6.4,.447,1.2,3.1,.392,1.6,3.3,.500,.543,0.6,0.6,.900,0.3,1.4,1.7,1.8,0.5,0.1,1.1,1.0,7.5,436,14.1,.563,.487,.101,2.7,10.8,6.9,19.2,1.9,0.8,14.4,24.2,0.0,0.4,0.4,.043,-0.5,-1.3,-1.7,0.0
Jay Huff,C,7-1,24,7,0,14.0,2.1,3.6,.600,0.9,1.7,.500,1.3,1.9,.692,.720,2.1,2.3,.938,0.9,2.1,3.0,1.4,0.4,0.6,0.7,2.1,7.3,95,22.3,.796,.480,.640,7.3,16.9,12.3,14.7,1.5,3.6,13.5,16.9,0.4,0.1,0.5,.261,2.8,1.2,4.0,0.1
WAS,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.006090808416389759,0.015440590111642727,0.006090808416389759,-0.015440590111642727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
