Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
LeBron James,PF,6-9,38,55,54,31.0,11.1,22.2,.500,2.2,6.9,.321,8.9,15.3,.580,.549,4.6,5.9,.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9,1954,23.9,.583,.309,.268,3.7,20.8,12.5,33.5,1.2,1.4,11.6,33.3,3.2,2.4,5.6,.138,5.5,0.6,6.1,4.0
Anthony Davis,C,6-10,29,56,54,29.0,9.7,17.2,.563,0.3,1.3,.257,9.3,15.9,.589,.573,6.2,7.9,.784,3.5,9.1,12.5,2.6,1.1,2.0,2.2,2.6,25.9,1904,27.8,.627,.077,.462,11.3,27.6,19.7,13.0,1.5,5.1,9.5,28.4,5.5,3.4,9.0,.226,4.6,1.7,6.3,4.0
D'Angelo Russell,PG,6-4,26,17,17,27.0,6.3,13.0,.484,2.7,6.5,.414,3.6,6.5,.555,.588,2.1,2.9,.735,0.4,2.5,2.9,6.1,0.6,0.5,2.3,1.4,17.4,526,17.1,.610,.502,.222,1.5,8.5,5.1,28.8,0.9,1.3,13.9,22.6,0.9,0.4,1.3,.118,3.1,-0.7,2.4,0.6
Austin Reaves,SG,6-5,24,64,22,25.0,4.0,7.7,.529,1.3,3.4,.398,2.7,4.3,.631,.616,3.6,4.1,.864,0.5,2.5,3.0,3.4,0.5,0.3,1.5,1.7,13.0,1843,14.9,.687,.441,.541,2.0,9.0,5.6,15.7,0.8,0.9,14.0,16.2,4.1,1.4,5.4,.142,0.6,0.1,0.7,1.2
Christian Wood,C,6-10,27,67,17,24.0,5.9,11.5,.515,1.6,4.2,.376,4.3,7.3,.594,.583,3.2,4.2,.772,1.3,6.0,7.3,1.8,0.4,1.1,1.8,2.5,16.6,1738,20.6,.624,.363,.365,5.8,27.4,16.4,11.7,0.9,3.7,11.9,26.4,2.7,2.1,4.8,.132,1.9,-0.3,1.7,1.6
Gabe Vincent,PG,6-3,26,68,34,23.0,3.4,8.3,.402,1.7,5.1,.334,1.6,3.2,.512,.505,1.0,1.1,.872,0.4,1.7,2.1,2.5,0.9,0.1,1.4,2.3,9.4,1759,9.0,.533,.617,.138,1.7,8.1,4.8,13.9,1.8,0.3,13.3,17.5,-0.3,1.7,1.4,.038,-3.1,-0.3,-3.4,-0.6
Cam Reddish,SF,6-8,23,20,12,22.0,3.9,8.8,.443,1.4,4.4,.318,2.5,4.4,.568,.523,1.8,2.1,.833,0.6,2.3,2.9,1.9,1.2,0.3,1.6,2.0,11.0,552,10.6,.563,.500,.239,2.3,9.6,5.9,9.6,2.1,1.0,14.1,17.8,0.0,0.3,0.3,.025,-3.0,-1.4,-4.3,-0.3
Taurean Prince,SF,6-7,28,54,4,20.0,3.3,7.0,.467,1.4,3.6,.381,1.9,3.4,.557,.565,1.2,1.4,.844,0.3,2.2,2.4,1.6,0.5,0.3,1.3,2.3,9.1,1192,10.0,.597,.512,.203,1.4,10.8,6.2,9.6,1.1,1.1,14.3,17.3,0.3,1.0,1.3,.052,-2.7,-0.6,-3.3,-0.4
Jarred Vanderbilt,PF,6-9,23,26,24,21.0,2.8,5.4,.529,0.4,1.3,.303,2.5,4.1,.598,.564,1.1,1.4,.784,1.9,4.8,6.7,1.6,1.2,0.2,1.1,2.2,7.2,625,13.2,.598,.236,.264,8.7,20.6,14.8,8.8,2.3,0.8,15.7,12.5,0.6,0.9,1.5,.118,-1.7,1.9,0.2,0.4
Rui Hachimura,PF,6-8,24,33,9,19.0,3.8,7.9,.485,0.6,2.2,.296,3.2,5.7,.556,.525,1.3,1.8,.721,1.0,3.7,4.7,0.7,0.2,0.4,0.5,1.0,9.6,738,12.7,.553,.273,.235,5.1,17.0,11.2,4.4,0.5,1.6,5.6,17.4,0.5,0.7,1.2,.081,-1.4,-0.5,-1.9,0.0
LAL,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0012437922642407617,0.007799975336046316,0.0012437922642406507,-0.007799975336046372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
