Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Paolo Banchero,PF,6-10,20,72,72,31.0,6.7,15.6,.427,1.2,4.0,.298,5.5,11.6,.471,.465,5.5,7.4,.738,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20.0,2430,14.9,.529,.254,.476,3.9,19.3,11.6,17.2,1.2,1.5,12.8,27.5,-0.3,2.6,2.4,.047,-0.7,-0.7,-1.5,0.3
Franz Wagner,SF,6-9,21,80,80,30.0,6.8,14.0,.485,1.6,4.5,.361,5.2,9.5,.544,.543,3.4,4.0,.842,0.9,3.2,4.1,3.5,1.0,0.2,2.1,2.3,18.6,2609,15.9,.589,.322,.288,3.0,11.2,7.1,17.2,1.4,0.6,11.7,23.5,3.1,2.3,5.4,.099,0.4,-0.5,-0.1,1.3
Markelle Fultz,PG,6-3,24,60,60,27.0,5.8,11.3,.514,0.5,1.5,.310,5.4,9.9,.544,.534,1.9,2.4,.783,1.2,2.8,3.9,5.7,1.5,0.4,2.3,2.2,14.0,1778,16.6,.564,.128,.211,4.4,10.5,7.4,29.8,2.4,1.4,15.8,21.3,1.7,2.0,3.7,.100,-0.1,0.7,0.5,1.2
Wendell Carter Jr.,C,6-10,23,57,54,27.0,5.6,10.8,.525,1.4,3.9,.356,4.2,6.8,.624,.591,2.5,3.4,.738,2.1,6.6,8.7,2.3,0.5,0.6,1.9,2.8,15.2,1690,17.3,.621,.367,.318,8.0,25.3,16.6,12.0,0.9,1.9,13.2,20.5,2.6,2.0,4.6,.130,0.9,0.1,1.0,1.3
Joe Ingles,SF,6-8,35,46,0,22.0,2.3,5.4,.435,1.8,4.4,.409,0.5,1.0,.556,.603,0.4,0.5,.857,0.3,2.5,2.8,3.3,0.7,0.1,1.2,1.6,6.9,1044,10.7,.616,.819,.085,1.4,11.1,6.4,18.4,1.5,0.5,17.6,12.6,1.1,1.2,2.3,.107,-1.6,0.8,-0.7,0.3
Cole Anthony,PG,6-2,22,60,4,24.0,4.6,10.2,.454,1.3,3.4,.364,3.4,6.7,.500,.516,2.5,2.8,.894,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,13.0,1552,16.0,.570,.338,.279,3.4,17.6,10.5,22.9,1.2,1.9,11.7,21.5,2.1,1.7,3.7,.116,0.8,0.5,1.3,1.3
Gary Harris,SG,6-4,28,48,42,23.0,2.9,6.4,.450,2.0,4.5,.431,0.9,1.9,.494,.603,0.6,0.6,.900,0.4,1.6,2.0,1.2,0.9,0.3,0.6,1.9,8.3,1184,10.5,.620,.710,.098,2.0,7.4,4.7,6.9,1.8,1.0,8.0,12.6,1.3,1.1,2.3,.095,-1.3,0.7,-0.7,0.4
Jalen Suggs,PG,6-4,21,53,19,22.0,3.5,8.4,.419,1.2,3.8,.327,2.3,4.6,.496,.493,1.6,2.2,.723,1.0,2.0,3.0,2.9,1.3,0.5,1.8,2.3,9.9,1246,12.5,.528,.455,.268,5.0,9.6,7.3,18.0,2.6,2.1,15.9,20.3,-0.2,1.5,1.4,.053,-1.8,0.8,-1.0,0.3
Moritz Wagner,C,6-11,25,57,18,18.0,3.5,6.9,.500,0.9,2.9,.313,2.6,4.1,.631,.564,2.7,3.2,.841,1.2,3.3,4.5,1.5,0.6,0.2,1.2,2.4,10.5,1109,17.4,.630,.412,.460,7.0,19.4,13.2,11.5,1.6,1.1,12.5,21.1,2.1,1.3,3.4,.149,0.4,0.2,0.6,0.7
Chuma Okeke,SF,6-6,24,27,8,18.0,1.6,4.5,.352,1.0,3.2,.302,0.6,1.3,.472,.459,0.6,0.8,.762,1.0,2.6,3.6,1.4,0.7,0.4,0.6,1.5,4.7,518,9.1,.488,.705,.172,5.7,15.3,10.5,9.4,1.8,2.1,11.5,12.3,0.0,0.6,0.7,.061,-2.4,0.8,-1.6,0.1
ORL,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008430161830173644,0.019043776895067865,-0.008430161830173755,-0.019043776895067865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
