Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Spencer Dinwiddie,PG,6-5,29,26,26,31.0,5.5,13.7,.404,1.7,5.7,.289,3.9,8.0,.488,.465,3.8,4.7,.797,0.3,3.8,4.1,9.1,1.1,0.3,2.1,2.4,16.5,917,15.8,.523,.419,.346,1.1,11.7,6.6,36.5,1.5,0.7,11.8,22.5,1.2,0.8,2.0,.103,0.7,-0.5,0.2,0.5
Cameron Johnson,PF,6-8,26,25,25,30.8,5.6,12.0,.468,2.3,6.2,.372,3.3,5.8,.572,.565,3.0,3.5,.851,0.8,4.0,4.8,2.1,1.4,0.3,1.1,2.2,16.6,770,16.9,.610,.518,.289,3.0,14.3,8.8,10.0,2.2,0.9,7.4,21.1,1.2,0.9,2.1,.131,1.4,0.6,2.0,0.8
Mikal Bridges,SF,6-6,26,27,27,30.0,8.9,18.6,.475,2.5,6.7,.376,6.3,11.9,.531,.543,5.9,6.6,.894,0.9,3.6,4.5,2.7,1.0,0.6,1.8,1.6,26.1,923,21.3,.607,.360,.356,2.9,11.7,7.4,12.9,1.4,1.5,7.8,30.3,1.7,0.8,2.5,.133,4.1,-0.8,3.3,1.2
Royce O'Neale,SF,6-4,29,76,53,27.0,3.0,7.8,.386,2.1,5.5,.389,0.9,2.3,.379,.524,0.7,0.9,.725,0.7,4.3,5.1,3.7,0.9,0.6,1.5,3.1,8.8,2409,9.2,.538,.707,.116,2.6,15.0,9.0,15.3,1.3,1.7,15.5,13.6,0.4,2.5,2.9,.057,-1.7,0.6,-1.1,0.5
Nic Claxton,C,6-11,23,76,76,26.0,5.4,7.7,.705,0.0,0.0,.000,5.4,7.7,.708,.705,1.8,3.2,.541,2.4,6.8,9.2,1.9,0.9,2.5,1.3,2.8,12.6,2271,20.8,.691,.003,.419,9.3,25.1,17.4,9.3,1.4,7.1,12.1,15.4,5.2,4.0,9.2,.195,0.9,2.2,3.1,2.9
Dorian Finney-Smith,PF,6-7,29,26,26,24.0,2.6,7.3,.351,1.4,4.7,.306,1.2,2.7,.429,.448,0.6,0.7,.789,1.8,3.1,4.9,1.6,0.7,0.6,1.0,2.5,7.2,721,7.7,.466,.634,.099,7.5,12.3,10.0,7.4,1.2,1.9,11.5,13.9,-0.3,0.7,0.4,.027,-3.3,-0.4,-3.7,-0.3
Ben Simmons,PG,6-10,26,42,33,23.0,3.2,5.6,.566,0.0,0.0,.000,3.2,5.5,.571,.566,0.6,1.4,.439,1.0,5.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9,1105,13.4,.559,.009,.243,4.2,22.2,13.4,31.3,2.4,1.9,27.2,14.3,0.5,1.7,2.2,.097,-2.2,2.6,0.4,0.7
Day'Ron Sharpe,C,6-11,21,48,3,11.5,1.9,3.6,.544,0.1,0.2,.545,1.8,3.3,.544,.561,0.7,1.1,.636,2.1,2.1,4.2,0.8,0.3,0.7,0.9,1.9,4.7,552,17.8,.581,.064,.322,20.6,20.1,20.4,9.7,1.3,5.0,17.7,19.0,0.8,0.8,1.6,.139,-1.8,-0.6,-2.3,0.0
Dennis Smith Jr.,PG,6-2,25,54,15,27.0,3.4,8.4,.412,0.4,2.1,.216,3.0,6.3,.475,.438,1.4,2.0,.736,0.5,2.6,3.1,4.8,1.4,0.5,1.5,2.3,8.8,1390,11.6,.475,.246,.235,2.0,11.0,6.4,26.1,2.6,1.6,14.1,17.6,-0.4,1.5,1.1,.039,-3.5,1.3,-2.2,-0.1
Cam Thomas,SG,6-4,21,57,4,14.0,3.5,8.0,.441,0.9,2.3,.383,2.6,5.7,.464,.497,2.6,3.1,.868,0.1,1.5,1.7,1.4,0.4,0.1,1.1,1.0,10.6,948,14.7,.567,.292,.382,1.0,10.1,5.6,12.7,1.0,0.6,10.6,27.8,0.3,0.7,1.0,.049,-0.7,-2.0,-2.7,-0.2
BKN,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.004873294346978474,0.004394719333263242,0.004873294346978585,-0.004394719333263297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
