Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Shai Gilgeous-Alexander,PG,6-6,24,68,68,35.0,10.4,20.3,.510,0.9,2.5,.345,9.5,17.8,.533,.531,9.8,10.9,.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,2.8,31.4,2416,27.2,.626,.122,.535,2.6,12.2,7.3,25.7,2.2,2.5,10.1,32.8,8.4,3.0,11.4,.226,5.8,1.5,7.3,5.6
Josh Giddey,SG,6-8,20,76,76,31.0,7.1,14.7,.482,1.0,3.1,.325,6.1,11.6,.524,.516,1.4,1.9,.731,1.9,5.9,7.9,6.2,0.8,0.4,2.8,1.9,16.6,2367,17.1,.533,.209,.130,6.6,20.9,13.6,29.9,1.1,1.2,15.1,24.6,1.3,2.7,4.0,.081,1.5,-0.3,1.1,1.9
Luguentz Dort,SG,6-3,23,74,73,31.0,4.6,11.8,.388,1.8,5.5,.330,2.8,6.3,.440,.466,2.7,3.5,.772,1.7,2.9,4.6,2.1,1.0,0.3,1.2,3.3,13.7,2272,11.3,.513,.468,.297,5.9,10.4,8.1,9.2,1.6,0.9,8.5,19.8,0.9,2.1,2.9,.062,-2.0,-1.0,-3.0,-0.6
Jalen Williams,SG,6-6,21,75,62,30.0,5.5,10.6,.521,1.0,2.7,.356,4.5,7.9,.579,.567,2.1,2.5,.812,1.1,3.4,4.5,3.3,1.4,0.5,1.6,2.5,14.1,2276,15.6,.601,.258,.241,3.9,12.2,7.9,15.4,2.1,1.4,12.3,18.4,3.0,2.6,5.6,.119,-0.4,0.7,0.3,1.3
Kenrich Williams,PF,6-6,28,53,10,23.0,3.4,6.5,.517,0.9,2.5,.373,2.4,4.0,.608,.590,0.3,0.7,.436,1.8,3.1,4.9,2.0,0.8,0.3,0.6,2.1,8.0,1206,14.4,.585,.387,.113,8.5,14.9,11.6,11.7,1.8,1.1,8.1,13.7,2.0,1.3,3.3,.133,0.1,0.4,0.5,0.8
Aleksej Pokusevski,PF,7-0,21,34,25,20.6,3.2,7.3,.434,1.1,3.1,.365,2.1,4.3,.483,.510,0.6,1.0,.629,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,8.1,701,13.4,.522,.418,.141,6.8,17.8,12.2,12.4,1.4,5.7,14.0,18.3,0.0,1.0,1.0,.066,-1.0,1.0,0.0,0.3
Jeremiah Robinson-Earl,PF,6-9,22,43,20,19.0,2.6,5.8,.444,0.9,2.6,.333,1.7,3.2,.533,.518,0.8,1.0,.833,1.7,2.5,4.2,1.0,0.6,0.3,0.4,1.7,6.8,814,12.9,.548,.448,.169,9.2,14.7,11.9,7.0,1.4,1.2,6.7,14.6,1.1,0.8,1.9,.111,-0.8,-0.7,-1.5,0.1
Jaylin Williams,PF,6-10,20,49,36,19.0,2.1,4.8,.436,0.9,2.3,.407,1.1,2.5,.463,.534,0.8,1.1,.704,0.9,4.0,4.9,1.6,0.6,0.2,0.8,2.3,5.9,914,11.2,.559,.483,.231,5.1,23.6,14.1,10.7,1.5,1.2,12.6,13.5,0.7,1.2,1.9,.099,-2.3,0.6,-1.8,0.1
Aaron Wiggins,SG,6-6,24,70,14,18.0,2.7,5.2,.512,0.7,1.7,.393,2.0,3.4,.573,.579,0.8,1.0,.831,1.0,2.0,3.0,1.1,0.6,0.2,0.8,1.6,6.8,1297,12.2,.607,.336,.196,5.5,12.0,8.7,8.3,1.4,1.1,12.2,14.5,1.4,1.2,2.6,.097,-1.5,-0.5,-2.1,0.0
Ousmane Dieng,SF,6-10,19,39,1,15.0,1.9,4.6,.420,0.7,2.5,.265,1.3,2.1,.602,.492,0.4,0.6,.652,0.5,2.2,2.7,1.2,0.4,0.2,0.7,1.1,4.9,569,9.3,.505,.541,.127,3.5,16.5,9.9,10.7,1.2,1.1,12.0,15.9,-0.1,0.6,0.4,.038,-3.1,-0.5,-3.6,-0.2
OKC,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01636426442777772,0.011512493011654412,-0.01636426442777772,-0.011512493011654412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
