Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kyle Kuzma,PF,6-9,27,64,64,35.0,8.0,17.8,.448,2.5,7.5,.333,5.5,10.3,.533,.518,2.7,3.7,.730,0.9,6.4,7.2,3.7,0.6,0.5,3.0,2.3,21.2,2239,14.3,.544,.421,.208,2.8,19.5,11.5,16.5,0.8,1.1,13.2,27.9,-1.0,1.9,0.9,.019,-0.2,-1.5,-1.7,0.2
Jordan Poole,PG,6-4,23,82,43,28.0,6.7,15.6,.430,2.6,7.8,.336,4.1,7.8,.524,.514,4.4,5.1,.870,0.4,2.4,2.7,4.5,0.8,0.3,3.1,2.6,20.4,2458,14.6,.573,.498,.325,1.5,8.5,5.0,22.5,1.2,0.8,14.7,29.2,1.4,1.9,3.2,.063,0.0,-1.8,-1.8,0.1
Corey Kispert,SF,6-7,23,74,45,28.0,3.9,7.9,.497,2.2,5.2,.424,1.7,2.7,.637,.637,1.0,1.2,.852,0.4,2.4,2.8,1.2,0.4,0.1,0.7,1.3,11.1,2093,11.5,.657,.656,.150,1.8,8.9,5.5,5.7,0.7,0.4,8.1,14.1,2.9,0.9,3.8,.088,-0.1,-1.4,-1.5,0.3
Delon Wright,PG,6-5,30,50,14,25.0,2.8,5.8,.474,0.8,2.4,.345,1.9,3.4,.564,.545,1.0,1.2,.867,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,7.4,1221,16.3,.581,.409,.206,5.5,10.7,8.2,20.9,3.7,1.2,12.2,12.9,2.1,1.6,3.7,.146,0.4,3.1,3.4,1.7
Johnny Davis,SG,6-5,20,28,5,15.0,2.4,6.1,.386,0.6,2.5,.243,1.8,3.6,.485,.436,0.5,1.0,.519,0.3,1.9,2.3,1.0,0.4,0.3,0.6,1.7,5.8,423,7.2,.446,.409,.158,2.5,13.7,8.3,9.2,1.2,1.6,8.0,20.4,-0.6,0.3,-0.3,-0.031,-5.8,-1.7,-7.4,-0.6
Mike Muscala,C,6-10,31,20,4,15.0,2.1,4.5,.472,1.3,3.3,.385,0.9,1.2,.708,.612,0.5,0.7,.692,0.7,2.7,3.4,0.6,0.2,0.3,0.5,1.4,5.9,323,11.6,.623,.730,.146,4.8,18.0,11.5,5.0,0.6,1.3,8.7,14.0,0.4,0.4,0.8,.116,-1.5,0.1,-1.4,0.1
Tyus Jones,PG,6-0,26,80,22,21.0,3.9,8.9,.438,1.5,4.1,.371,2.4,4.8,.495,.523,1.0,1.3,.800,0.4,2.2,2.5,5.2,1.0,0.1,0.9,0.4,10.3,1940,16.0,.546,.459,.141,1.5,9.4,5.5,28.8,2.0,0.3,8.9,17.7,3.4,2.3,5.7,.141,1.2,0.3,1.6,1.7
Deni Avdija,SF,6-9,22,76,40,26.6,3.3,7.6,.437,0.9,3.1,.297,2.4,4.6,.530,.497,1.6,2.2,.739,1.0,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2,2020,11.2,.535,.401,.285,4.2,21.9,13.4,13.9,1.6,1.2,15.9,16.7,0.0,2.3,2.3,.054,-2.8,0.5,-2.3,-0.1
Daniel Gafford,C,6-10,24,78,47,20.6,3.7,5.1,.732,0.0,0.0,,3.7,5.1,.732,.732,1.6,2.4,.679,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,9.0,1604,19.7,.739,.000,.473,11.7,18.0,15.0,7.5,1.0,5.2,15.1,15.2,4.2,1.9,6.1,.184,0.4,0.6,1.0,1.2
Anthony Gill,PF,6-7,30,59,8,10.6,1.2,2.2,.538,0.1,0.5,.138,1.1,1.7,.650,.553,0.8,1.1,.731,0.6,1.1,1.7,0.6,0.1,0.2,0.3,1.2,3.3,624,11.1,.604,.220,.508,6.9,10.6,8.8,7.2,0.5,1.6,8.5,12.3,1.0,0.4,1.3,.101,-2.4,-0.9,-3.3,-0.2
WAS,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.006090808416389759,0.015440590111642727,0.006090808416389759,-0.015440590111642727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
