Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Shai Gilgeous-Alexander,24,17,17,36.1,11.1,21.3,.519,1.1,2.9,.380,9.9,18.4,.542,.546,7.8,8.5,.917,0.9,3.8,4.8,6.3,1.8,1.4,3.1,2.5,31.1
Luguentz Dort,23,18,18,30.9,5.2,12.6,.412,1.7,5.4,.306,3.5,7.1,.492,.478,2.4,3.2,.741,1.6,3.1,4.7,2.2,1.2,0.3,1.1,3.4,14.4
Josh Giddey,20,15,15,30.2,6.5,14.1,.464,0.9,3.4,.275,5.6,10.7,.525,.498,0.9,1.3,.700,1.5,5.5,7.0,5.8,0.4,0.5,3.4,2.3,14.9
Jalen Williams,21,14,4,24.6,4.0,7.9,.509,0.8,2.6,.306,3.2,5.3,.608,.559,1.1,1.3,.889,0.4,2.4,2.8,2.7,0.9,0.4,1.5,2.8,9.9
Aleksej Pokusevski,21,15,11,23.4,4.0,8.0,.500,1.5,3.5,.423,2.5,4.5,.559,.592,0.5,1.0,.533,1.4,3.5,4.9,1.7,0.7,1.9,1.5,1.9,10.0
Tre Mann,21,15,4,22.9,3.9,9.7,.397,1.7,5.1,.325,2.2,4.6,.478,.483,0.7,1.1,.625,0.7,2.2,2.9,2.1,0.8,0.1,0.9,1.5,10.1
Aaron Wiggins,24,14,5,20.5,2.2,4.7,.470,0.7,1.8,.400,1.5,2.9,.512,.545,0.9,1.1,.813,0.9,3.1,3.9,1.9,0.4,0.3,0.8,1.7,6.1
Kenrich Williams,28,16,3,20.0,2.6,5.2,.494,0.6,1.7,.333,2.0,3.5,.571,.548,0.2,0.6,.333,1.6,2.1,3.8,1.5,0.6,0.2,0.4,1.9,5.9
Jeremiah Robinson-Earl,22,17,12,19.4,3.2,6.2,.509,1.3,3.0,.431,1.9,3.2,.582,.613,0.7,1.0,.706,1.4,3.1,4.5,0.9,0.8,0.5,0.6,2.1,8.4
Darius Bazley,22,13,0,16.5,2.2,5.5,.408,0.5,1.5,.350,1.7,3.9,.431,.458,0.7,1.5,.450,1.5,3.0,4.5,1.3,0.7,1.4,0.5,1.3,5.7
