Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Anthony Edwards,21,37,37,36.9,8.6,18.5,.464,2.6,7.1,.368,6.0,11.5,.524,.534,4.1,5.5,.737,0.7,5.5,6.2,4.4,1.8,0.5,3.2,2.8,23.9
Karl-Anthony Towns,27,21,21,33.8,7.3,14.4,.505,1.8,5.6,.325,5.5,8.9,.618,.568,4.4,5.0,.885,1.7,6.5,8.2,5.3,0.8,0.7,3.1,3.9,20.8
D'Angelo Russell,26,35,35,32.9,6.1,13.4,.458,2.3,6.5,.349,3.9,6.9,.563,.544,2.4,2.9,.842,0.5,2.7,3.2,6.5,1.1,0.5,2.8,2.2,17.0
Rudy Gobert,30,31,31,31.3,5.2,7.7,.671,0.0,0.1,.000,5.2,7.6,.679,.671,3.2,4.8,.676,3.5,8.4,11.9,0.9,0.8,1.3,1.7,3.1,13.6
Jaden McDaniels,22,34,34,30.7,4.4,8.6,.519,1.1,3.0,.369,3.3,5.5,.601,.584,1.2,1.5,.769,1.3,2.4,3.7,1.7,1.1,1.1,1.5,3.5,11.2
Kyle Anderson,29,27,12,24.6,2.6,5.6,.470,0.4,1.2,.375,2.2,4.4,.496,.510,1.7,2.2,.797,0.6,3.6,4.2,3.4,1.1,0.7,1.4,2.0,7.4
Jaylen Nowell,23,37,0,20.1,4.5,10.6,.430,1.2,3.9,.301,3.4,6.6,.506,.486,1.2,1.5,.786,0.8,2.1,2.9,2.1,0.7,0.1,0.9,1.6,11.5
Austin Rivers,30,27,9,19.7,1.8,4.0,.454,0.9,2.3,.393,0.9,1.7,.532,.565,0.8,0.9,.880,0.1,1.6,1.7,1.2,0.5,0.0,0.6,1.7,5.3
Taurean Prince,28,18,0,19.6,2.8,5.7,.495,1.2,3.0,.389,1.7,2.7,.612,.597,1.1,1.2,.864,0.3,2.2,2.5,1.2,0.3,0.2,1.2,2.4,7.9
Naz Reid,23,31,4,18.1,4.2,7.7,.546,1.0,2.8,.360,3.2,5.0,.649,.610,1.1,1.8,.636,0.9,3.9,4.8,1.0,0.5,1.0,1.2,2.3,10.6
