Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Jerami Grant,28,15,15,36.0,6.5,13.6,.480,2.7,5.5,.482,3.9,8.1,.479,.578,4.0,5.3,.750,0.9,3.9,4.7,2.5,0.8,0.9,2.0,2.1,19.7
Anfernee Simons,23,14,14,35.5,7.6,18.4,.416,3.9,10.5,.374,3.7,7.9,.473,.523,3.3,3.8,.868,0.4,2.8,3.2,4.0,1.1,0.2,2.1,2.2,22.5
Josh Hart,27,16,16,35.4,3.3,7.3,.444,0.6,1.8,.321,2.7,5.6,.483,.483,2.1,2.9,.723,1.7,6.7,8.4,4.1,1.4,0.2,1.6,2.6,9.2
Damian Lillard,32,11,11,35.2,7.6,18.1,.422,3.4,10.1,.333,4.3,8.0,.534,.515,7.6,8.7,.875,0.9,3.4,4.3,7.0,0.5,0.3,3.8,1.6,26.3
Jusuf Nurkić,28,13,13,27.8,5.0,9.6,.520,0.5,1.0,.538,4.5,8.6,.518,.548,2.8,3.7,.771,2.8,7.3,10.2,2.2,0.8,0.7,2.5,3.1,13.4
Justise Winslow,26,13,4,26.8,2.8,7.2,.383,0.4,1.6,.238,2.4,5.6,.425,.410,1.0,1.5,.650,1.5,3.2,4.8,3.6,1.2,0.5,1.5,2.9,6.9
Shaedon Sharpe,19,15,4,21.1,3.9,7.3,.532,1.2,2.5,.474,2.7,4.7,.563,.615,0.7,1.0,.733,0.7,1.8,2.5,0.4,0.3,0.3,0.7,1.9,9.7
Drew Eubanks,25,16,3,18.7,2.5,3.5,.714,0.0,0.0,,2.5,3.5,.714,.714,1.0,1.4,.696,1.6,2.7,4.3,0.8,0.5,0.9,0.9,2.0,6.0
Keon Johnson,20,6,0,17.7,2.7,7.5,.356,1.3,3.8,.348,1.3,3.7,.364,.444,0.3,1.0,.333,0.5,2.0,2.5,1.7,0.8,0.3,2.2,1.7,7.0
Trendon Watford,22,7,0,15.3,1.4,3.0,.476,0.0,0.6,.000,1.4,2.4,.588,.476,1.3,1.4,.900,0.4,2.1,2.6,2.0,0.9,0.0,1.1,2.1,4.1
