Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Stephen Curry,34,15,15,34.6,10.9,20.6,.528,5.1,11.6,.443,5.7,9.0,.637,.652,5.3,5.9,.909,0.6,6.1,6.7,6.6,1.1,0.1,2.7,2.0,32.2
Andrew Wiggins,27,15,15,33.1,7.0,14.2,.493,2.5,6.3,.404,4.5,7.9,.563,.582,1.6,2.3,.686,1.6,4.0,5.6,2.3,1.2,0.9,1.4,3.0,18.1
Draymond Green,32,15,15,30.1,3.3,5.9,.562,0.3,1.1,.313,3.0,4.9,.616,.590,1.1,1.7,.680,0.6,5.7,6.3,6.7,1.0,0.6,2.4,3.5,8.1
Klay Thompson,32,13,13,28.8,5.6,15.5,.363,3.2,9.6,.336,2.4,5.8,.408,.468,1.0,1.2,.813,0.3,3.2,3.5,2.4,0.5,0.4,1.7,2.0,15.5
Jordan Poole,23,16,3,28.3,5.4,12.9,.415,2.3,6.8,.339,3.1,6.1,.500,.505,2.8,3.4,.833,0.3,1.6,1.9,4.5,1.1,0.3,2.9,2.4,15.9
Kevon Looney,26,16,16,23.8,2.8,4.5,.625,0.0,0.0,,2.8,4.5,.625,.625,0.8,1.1,.667,2.3,4.7,7.0,3.1,0.4,0.5,0.4,3.1,6.4
Anthony Lamb,25,8,1,20.3,3.0,5.5,.545,1.6,3.6,.448,1.4,1.9,.733,.693,0.0,0.0,,0.9,2.6,3.5,1.5,1.0,0.0,1.3,2.4,7.6
JaMychal Green,32,13,0,16.9,2.2,4.9,.438,0.4,1.8,.217,1.8,3.2,.561,.477,0.6,0.8,.800,1.7,2.7,4.4,0.8,0.8,0.5,1.0,2.3,5.3
Donte DiVincenzo,26,8,0,16.1,1.5,3.8,.400,1.0,2.8,.364,0.5,1.0,.500,.533,0.6,0.8,.833,0.1,1.8,1.9,1.6,0.4,0.0,1.5,1.6,4.6
Moses Moody,20,14,1,15.8,1.9,4.6,.406,1.0,2.9,.350,0.9,1.7,.500,.516,0.9,1.1,.813,0.4,1.6,1.9,0.6,0.4,0.4,1.1,0.9,5.6
