Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Bradley Beal,29,9,9,35.1,8.2,15.9,.517,1.4,4.4,.325,6.8,11.4,.592,.563,3.7,4.0,.917,0.7,2.9,3.6,5.7,0.9,0.8,2.7,2.0,21.6
Kyle Kuzma,27,12,12,32.8,6.9,14.8,.469,2.2,6.2,.351,4.8,8.6,.553,.542,2.8,3.8,.733,0.8,6.8,7.7,2.4,0.3,0.7,2.0,2.8,18.8
Kristaps Porziņģis,27,11,11,30.8,6.6,13.9,.477,1.7,5.2,.333,4.9,8.7,.563,.539,4.2,5.1,.821,2.3,5.9,8.2,2.5,0.6,1.3,1.8,3.5,19.2
Monte Morris,27,12,12,27.4,3.4,7.8,.436,0.9,2.7,.344,2.5,5.2,.484,.495,1.2,1.6,.737,0.4,3.0,3.4,4.7,0.7,0.3,0.9,1.2,8.9
Will Barton,32,12,0,24.6,3.4,8.8,.387,1.4,3.9,.362,2.0,4.9,.407,.467,1.0,1.1,.923,0.4,3.1,3.5,2.6,0.6,0.3,1.3,1.3,9.3
Rui Hachimura,24,12,0,23.8,4.8,10.0,.483,0.6,2.0,.292,4.3,8.0,.531,.513,1.8,2.4,.724,0.9,4.3,5.2,0.8,0.2,0.6,1.7,1.2,12.0
Delon Wright,30,4,0,22.8,2.5,6.0,.417,0.8,3.0,.250,1.8,3.0,.583,.479,0.8,1.3,.600,1.0,1.5,2.5,3.3,2.8,1.0,1.0,1.3,6.5
Corey Kispert,23,4,3,21.3,2.0,5.0,.400,0.5,3.0,.167,1.5,2.0,.750,.450,1.3,1.5,.833,0.0,1.8,1.8,1.8,0.5,0.0,0.8,1.3,5.8
Deni Avdija,22,12,9,20.6,1.8,5.5,.333,0.5,2.3,.222,1.3,3.3,.410,.379,1.0,1.3,.800,0.7,3.7,4.3,1.6,0.4,0.6,1.0,2.8,5.2
Jordan Goodwin,24,6,0,17.5,2.7,4.2,.640,0.3,1.3,.250,2.3,2.8,.824,.680,0.3,0.3,1.000,1.3,2.7,4.0,3.2,0.7,0.7,0.8,1.3,6.0
